Index, Day, Date, Temp 1, Junk, Temp 2
1, Mon, 08 May 2017 18:35:12 ,31.7937,-1154,32.7687
,,,,,
2, Mon, 08 May 2017 18:44:18 ,32.25,-1069,33.25
,,,,,
3, Mon, 08 May 2017 18:53:24 ,32.2312,-1407,33.4062
,,,,,
4, Mon, 08 May 2017 19:02:30 ,31.5,-1131,32.6749
,,,,,
5, Mon, 08 May 2017 19:11:36 ,32.1687,-1335,32.9687
,,,,,
6, Mon, 08 May 2017 19:20:42 ,32.2874,-1042,33.0625
,,,,,
7, Mon, 08 May 2017 19:29:48 ,31.4562,-1248,32.8312
,,,,,
8, Mon, 08 May 2017 19:38:54 ,31.4874,-1163,33.0625
,,,,,
9, Mon, 08 May 2017 19:48:00 ,31,-1197,32.5499
,,,,,
10, Mon, 08 May 2017 19:57:06 ,30.7687,-1065,32.7187
,,,,,
11, Mon, 08 May 2017 20:06:12 ,31.5,-1037,33.65
,,,,,
12, Mon, 08 May 2017 20:15:19 ,30.6062,-1298,32.5562
,,,,,
13, Mon, 08 May 2017 20:24:25 ,31.25,-1193,32.4249
,,,,,
14, Mon, 08 May 2017 20:33:31 ,32.1812,-1062,32.5812
,,,,,
15, Mon, 08 May 2017 20:42:37 ,32.5437,-1248,32.5437
,,,,,
16, Mon, 08 May 2017 20:51:43 ,31.7437,-1028,32.3187
,,,,,
17, Mon, 08 May 2017 21:09:55 ,30.8875,-1272,32.8375
,,,,,
18, Mon, 08 May 2017 21:19:01 ,29.2687,-1134,30.0687
,,,,,
19, Mon, 08 May 2017 21:37:13 ,30.1375,-1231,31.9125
,,,,,
20, Mon, 08 May 2017 21:46:19 ,28.7999,-1082,30.95
,,,,,
21, Mon, 08 May 2017 21:55:25 ,29.2687,-1097,30.4437
,,,,,
22, Mon, 08 May 2017 22:04:31 ,28.7937,-1096,29.7687
,,,,,
23, Mon, 08 May 2017 22:13:37 ,27.8312,-1257,29.5812
,,,,,
24, Mon, 08 May 2017 22:22:43 ,26.4812,-1234,28.6312
,,,,,
25, Mon, 08 May 2017 22:31:49 ,25.4437,-1419,27.5937
,,,,,
26, Mon, 08 May 2017 22:40:55 ,25.3937,-1827,26.9687
,,,,,
27, Mon, 08 May 2017 22:50:01 ,24.3562,-1337,26.1062
,,,,,
28, Mon, 08 May 2017 22:59:06 ,23.85,-1399,25.4249
,,,,,
29, Mon, 08 May 2017 23:08:12 ,24.0437,-1182,25.4187
,,,,,
30, Mon, 08 May 2017 23:17:18 ,23.85,-1595,25.225
,,,,,
