Index, Day, Date, Temp 1, Junk, Temp 2,,Temp 1 is ,Temp 2 is
1, Sun, 26 Feb 2017 03:01:05 ,18.7625,-2277,17.7875, ,,
,,,,,,,,
2, Sun, 26 Feb 2017 03:19:16 ,18.9375,-1497,18.1625, ,,
,,,,,,,,
3, Sun, 26 Feb 2017 03:37:27 ,19.5937,-1486,18.9937, ,,
,,,,,,,,
4, Sun, 26 Feb 2017 03:55:38 ,18.875,-1570,18.1, ,,
,,,,,,,,
5, Sun, 26 Feb 2017 04:13:49 ,19.0437,-1523,18.2687, ,,
,,,,,,,,
6, Sun, 26 Feb 2017 04:32:00 ,19.5312,-1484,18.9312, ,,
,,,,,,,,
7, Sun, 26 Feb 2017 04:50:11 ,18.9375,-1663,18.1625, ,,
,,,,,,,,
8, Sun, 26 Feb 2017 05:08:22 ,18.95,-1611,18.1749, ,,
,,,,,,,,
9, Sun, 26 Feb 2017 05:26:33 ,19.1062,-1415,18.5062, ,,
,,,,,,,,
10, Sun, 26 Feb 2017 05:44:44 ,19.5437,-1525,18.9437, ,,
,,,,,,,,
11, Sun, 26 Feb 2017 06:02:55 ,19.2312,-1457,18.6312, ,,
,,,,,,,,
12, Sun, 26 Feb 2017 06:21:06 ,18.2125,-2965,17.2374, ,,
,,,,,,,,
13, Sun, 26 Feb 2017 06:39:17 ,18.6875,-1748,17.9125, ,,
,,,,,,,,
14, Sun, 26 Feb 2017 06:57:28 ,19.2312,-1487,18.6312, ,,
,,,,,,,,
15, Sun, 26 Feb 2017 07:15:39 ,19.4062,-1520,19.0062, ,,
,,,,,,,,
16, Sun, 26 Feb 2017 07:33:50 ,19.2187,-1511,18.4437, ,,
,,,,,,,,
17, Sun, 26 Feb 2017 07:52:01 ,18.2125,-1326,17.4375, ,,
,,,,,,,,
18, Sun, 26 Feb 2017 08:10:12 ,18.8562,-1491,18.2562, ,,
,,,,,,,,
19, Sun, 26 Feb 2017 08:28:23 ,19.7812,-1379,19.1812, ,,
,,,,,,,,
20, Sun, 26 Feb 2017 08:46:34 ,19.1687,-1387,18.5687, ,,
,,,,,,,,
21, Sun, 26 Feb 2017 09:04:45 ,19.1812,-1643,18.2062, ,,
,,,,,,,,
22, Sun, 26 Feb 2017 09:22:56 ,19.8437,-1431,19.0687, ,,
,,,,,,,,
23, Sun, 26 Feb 2017 09:41:07 ,19.1375,-1542,18.5375, ,,
,,,,,,,,
24, Sun, 26 Feb 2017 09:59:18 ,18.1937,-1436,17.2187, ,,
,,,,,,,,
25, Sun, 26 Feb 2017 10:17:29 ,18.7187,-1581,17.9437, ,,
,,,,,,,,
26, Sun, 26 Feb 2017 10:35:40 ,19.3937,-1530,18.9937, ,,
,,,,,,,,
27, Sun, 26 Feb 2017 10:53:52 ,19.2625,-1474,18.6625, ,,
,,,,,,,,
28, Sun, 26 Feb 2017 11:30:14 ,18.7812,-1648,18.0062, ,,
,,,,,,,,
29, Sun, 26 Feb 2017 11:48:25 ,19.5312,-1411,18.7562, ,,
,,,,,,,,
30, Sun, 26 Feb 2017 12:06:36 ,19.45,-1467,18.85, ,,
,,,,,,,,
31, Sun, 26 Feb 2017 12:24:47 ,18.7437,-1927,17.7687, ,,
,,,,,,,,
32, Sun, 26 Feb 2017 12:42:58 ,19.3437,-1547,18.7437, ,,
,,,,,,,,
33, Sun, 26 Feb 2017 13:01:09 ,20.0062,-1489,19.4062, ,,
,,,,,,,,
34, Sun, 26 Feb 2017 13:19:20 ,20.0375,-1348,19.2374, ,,
,,,,,,,,
35, Sun, 26 Feb 2017 13:37:31 ,19.95,-1497,19.1749, ,,
,,,,,,,,
36, Sun, 26 Feb 2017 13:55:42 ,19.8937,-1445,19.2937, ,,
,,,,,,,,
37, Sun, 26 Feb 2017 14:13:54 ,20.4,-1349,19.825, ,,
,,,,,,,,
38, Sun, 26 Feb 2017 14:32:05 ,21.2,-1587,20.4249, ,,
,,,,,,,,
39, Sun, 26 Feb 2017 14:50:16 ,21.3437,-1388,20.7437, ,,
,,,,,,,,
40, Sun, 26 Feb 2017 15:08:27 ,22.7812,-1388,22.2062, ,,
,,,,,,,,
41, Sun, 26 Feb 2017 15:26:39 ,22.9937,-1302,22.0187, ,,
,,,,,,,,
42, Sun, 26 Feb 2017 15:44:50 ,24.0875,-1400,22.7125, ,,
,,,,,,,,
