Index, Day, Date, Temp 1, Junk, Temp 2
1, Tue, 28 Feb 2017 04:02:24 , 18.8812, -1091.0000, 18.6812, 
2, Tue, 28 Feb 2017 04:20:35 , 18.8624, -1680.0000, 18.6625, 
3, Tue, 28 Feb 2017 05:15:08 , 20.0062, -1399.0000, 19.4312, 
4, Tue, 28 Feb 2017 05:33:19 , 19.7687, -1442.0000, 19.3687, 
5, Tue, 28 Feb 2017 05:51:30 , 19.1749, -1309.0000, 18.9750, 
6, Tue, 28 Feb 2017 06:09:41 , 18.7812, -1433.0000, 18.5812, 
7, Tue, 28 Feb 2017 06:27:52 , 18.3125, -1366.0000, 18.1124, 
8, Tue, 28 Feb 2017 07:22:25 , 18.2812, -1920.0000, 18.0812, 
9, Tue, 28 Feb 2017 07:40:36 , 18.8750, -1704.0000, 18.4750, 
10, Tue, 28 Feb 2017 07:58:47 , 18.5125, -1662.0000, 18.3125, 
11, Tue, 28 Feb 2017 08:16:58 , 17.8437, -1788.0000, 17.8437, 
12, Tue, 28 Feb 2017 08:35:09 , 18.9125, -1380.0000, 18.3375, 
13, Tue, 28 Feb 2017 08:53:20 , 19.4312, -1340.0000, 19.0562, 
14, Tue, 28 Feb 2017 09:11:31 , 18.9062, -1405.0000, 18.7062, 
15, Tue, 28 Feb 2017 09:29:42 , 18.5187, -1388.0000, 18.3187, 
16, Tue, 28 Feb 2017 09:47:53 , 18.3437, -1594.0000, 18.3437, 
17, Tue, 28 Feb 2017 10:06:04 , 18.8312, -1431.0000, 18.4312, 
18, Tue, 28 Feb 2017 10:24:15 , 19.7125, -1538.0000, 19.1375, 
19, Tue, 28 Feb 2017 10:42:26 , 19.2062, -1380.0000, 19.0062, 
20, Tue, 28 Feb 2017 11:00:37 , 18.4562, -1683.0000, 18.2562, 
21, Tue, 28 Feb 2017 11:37:00 , 18.7250, -1306.0000, 18.7250, 
22, Tue, 28 Feb 2017 11:55:10 , 17.8937, -1743.0000, 17.6937, 
23, Tue, 28 Feb 2017 12:13:21 , 17.7562, -1754.0000, 17.5562, 
24, Tue, 28 Feb 2017 12:31:32 , 19.4625, -3385.0000, 18.6875, 
25, Tue, 28 Feb 2017 12:49:44 , 20.2812, -1129.0000, 19.5062, 
26, Tue, 28 Feb 2017 13:07:55 , 21.0937, -1194.0000, 20.0937, 
27, Tue, 28 Feb 2017 13:26:06 , 21.5062, -1432.0000, 20.5312, 
28, Tue, 28 Feb 2017 13:44:17 , 22.3312, -1352.0000, 21.1562, 
29, Tue, 28 Feb 2017 14:02:29 , 22.7312, -1263.0000, 21.3562, 
30, Tue, 28 Feb 2017 14:20:40 , 22.1375, -1376.0000, 21.1625, 
31, Tue, 28 Feb 2017 14:38:51 , 22.7750, -1352.0000, 21.4000, 
32, Tue, 28 Feb 2017 14:57:03 , 22.9437, -1383.0000, 21.7687, 
33, Tue, 28 Feb 2017 15:15:14 , 23.2125, -1345.0000, 22.2374, 
34, Tue, 28 Feb 2017 15:33:26 , 24.2812, -1373.0000, 22.9062, 
35, Tue, 28 Feb 2017 15:51:37 , 23.4249, -1170.0000, 21.8750, 
36, Tue, 28 Feb 2017 16:09:49 , 23.6437, -1027.0000, 22.2687, 
