Index, Day, Date, Temp 1, Junk, Temp 2
1, Thu, 02 Mar 2017 14:03:19 , 21.1124, -1358.0000, 20.3375, 
2, Thu, 02 Mar 2017 14:12:25 , 21.2062, -1425.0000, 20.4312, 
3, Thu, 02 Mar 2017 14:21:31 , 20.7125, -1363.0000, 20.1375, 
4, Thu, 02 Mar 2017 14:30:37 , 20.7875, -1323.0000, 20.2125, 
5, Thu, 02 Mar 2017 14:39:42 , 21.3375, -1327.0000, 20.5625, 
6, Thu, 02 Mar 2017 14:48:48 , 22.1000, -1371.0000, 21.3250, 
7, Thu, 02 Mar 2017 14:57:54 , 23.0562, -1117.0000, 22.2812, 
8, Thu, 02 Mar 2017 15:06:59 , 25.3312, -1460.0000, 24.7562, 
9, Thu, 02 Mar 2017 15:16:05 , 25.6937, -1376.0000, 24.9187, 
10, Thu, 02 Mar 2017 15:25:11 , 26.6812, -1390.0000, 25.5312, 
11, Thu, 02 Mar 2017 15:34:17 , 26.3687, -1383.0000, 25.5937, 
12, Thu, 02 Mar 2017 15:43:23 , 27.5250, -1486.0000, 26.5499, 
13, Thu, 02 Mar 2017 15:52:29 , 27.9062, -1706.0000, 27.1062, 
14, Thu, 02 Mar 2017 16:01:35 , 27.3875, -1106.0000, 26.5875, 
15, Thu, 02 Mar 2017 16:10:41 , 27.9249, -1538.0000, 27.3500, 
16, Thu, 02 Mar 2017 16:19:46 , 28.9625, -1500.0000, 27.9874, 
17, Thu, 02 Mar 2017 16:28:52 , 28.6000, -1380.0000, 27.6250, 
18, Thu, 02 Mar 2017 16:37:58 , 28.2374, -1254.0000, 26.6875, 
19, Thu, 02 Mar 2017 16:47:04 , 28.9249, -1332.0000, 27.1749, 
20, Thu, 02 Mar 2017 16:56:10 , 29.8437, -1359.0000, 28.0937, 
21, Thu, 02 Mar 2017 17:05:16 , 29.6875, -1356.0000, 27.7374, 
22, Thu, 02 Mar 2017 17:14:22 , 29.4500, -1331.0000, 27.5000, 
23, Thu, 02 Mar 2017 17:23:28 , 29.3624, -1352.0000, 27.2125, 
24, Thu, 02 Mar 2017 17:32:34 , 29.1500, -1241.0000, 27.2000, 
25, Thu, 02 Mar 2017 17:50:46 , 28.9249, -1541.0000, 27.1749, 
26, Thu, 02 Mar 2017 17:59:52 , 29.0937, -1366.0000, 27.1437, 
27, Thu, 02 Mar 2017 18:08:58 , 29.2000, -1211.0000, 27.2500, 
28, Thu, 02 Mar 2017 18:18:04 , 28.9187, -1339.0000, 26.9687, 
29, Thu, 02 Mar 2017 18:27:10 , 28.9500, -1132.0000, 27.0000, 
30, Thu, 02 Mar 2017 18:36:16 , 29.2875, -1294.0000, 27.3125, 
31, Thu, 02 Mar 2017 18:45:22 , 29.5875, -1254.0000, 27.8375, 
32, Thu, 02 Mar 2017 18:54:28 , 29.5375, -1265.0000, 27.3875, 
33, Thu, 02 Mar 2017 19:03:34 , 28.9687, -1100.0000, 27.0187, 
34, Thu, 02 Mar 2017 19:12:40 , 29.2625, -1364.0000, 27.5125, 
35, Thu, 02 Mar 2017 19:21:46 , 29.5562, -1128.0000, 27.6062, 
36, Thu, 02 Mar 2017 19:30:52 , 29.1250, -1178.0000, 27.5750, 
37, Thu, 02 Mar 2017 19:39:58 , 29.2625, -1327.0000, 27.5125, 
38, Thu, 02 Mar 2017 19:49:04 , 29.3062, -1179.0000, 27.5312, 
39, Thu, 02 Mar 2017 19:58:10 , 28.8375, -1195.0000, 27.4625, 
40, Thu, 02 Mar 2017 20:07:16 , 27.6187, -1395.0000, 26.2437, 
41, Thu, 02 Mar 2017 20:16:21 , 26.7312, -1626.0000, 25.5562, 
42, Thu, 02 Mar 2017 20:25:27 , 27.1937, -1540.0000, 25.8437, 
43, Thu, 02 Mar 2017 20:34:33 , 25.4625, -1479.0000, 24.0875, 
44, Thu, 02 Mar 2017 20:43:39 , 26.0687, -1357.0000, 24.5187, 
45, Thu, 02 Mar 2017 20:52:45 , 25.4437, -1412.0000, 24.0687, 
46, Thu, 02 Mar 2017 21:01:51 , 26.8875, -1332.0000, 25.3375, 
47, Thu, 02 Mar 2017 21:10:57 , 25.0562, -1313.0000, 23.7062, 
48, Thu, 02 Mar 2017 21:20:03 , 24.4625, -1266.0000, 23.3125, 
49, Thu, 02 Mar 2017 21:29:08 , 24.7937, -1373.0000, 23.6187, 
50, Thu, 02 Mar 2017 21:38:14 , 24.0750, -1341.0000, 22.9000, 
51, Thu, 02 Mar 2017 21:47:20 , 23.4750, -1355.0000, 22.7000, 
52, Thu, 02 Mar 2017 21:56:26 , 22.8937, -1332.0000, 22.2937, 
53, Thu, 02 Mar 2017 22:05:31 , 22.5187, -1015.0000, 21.7437, 
54, Thu, 02 Mar 2017 22:14:37 , 22.0937, -1435.0000, 21.3187, 
55, Thu, 02 Mar 2017 22:23:43 , 21.2187, -1389.0000, 20.6437, 
56, Thu, 02 Mar 2017 22:32:49 , 20.7750, -1408.0000, 20.1749, 
57, Thu, 02 Mar 2017 22:41:54 , 20.6625, -1436.0000, 20.0625, 
58, Thu, 02 Mar 2017 22:51:00 , 21.4125, -1427.0000, 20.8375, 
59, Thu, 02 Mar 2017 23:00:06 , 21.4125, -1342.0000, 20.8375, 
60, Thu, 02 Mar 2017 23:09:11 , 20.9437, -1432.0000, 20.3687, 
61, Thu, 02 Mar 2017 23:18:17 , 20.0562, -1485.0000, 19.6812, 
62, Thu, 02 Mar 2017 23:27:23 , 19.6000, -1403.0000, 19.2250, 
63, Thu, 02 Mar 2017 23:36:28 , 18.9750, -1416.0000, 18.6000, 
64, Thu, 02 Mar 2017 23:45:34 , 18.6000, -1512.0000, 18.2250, 
65, Thu, 02 Mar 2017 23:54:39 , 19.0812, -1449.0000, 18.6812, 
66, Fri, 03 Mar 2017 00:03:45 , 20.0437, -1377.0000, 19.4437, 
