Index, Day, Date, Temp 1, Junk, Temp 2
1, Thu, 04 May 2017 16:10:32 ,28.5187,-1578,28.5187
,,,,,
2, Thu, 04 May 2017 16:19:38 ,29.3562,-1635,29.7562
,,,,,
3, Thu, 04 May 2017 16:28:44 ,27.4312,-1459,29.5812
,,,,,
4, Thu, 04 May 2017 16:37:50 ,27.9375,-1429,29.8875
,,,,,
5, Thu, 04 May 2017 16:46:56 ,29.325,-1274,31.6749
,,,,,
6, Thu, 04 May 2017 16:56:02 ,28.4562,-1223,30.9812
,,,,,
7, Thu, 04 May 2017 17:05:08 ,30.9375,-1373,33.0875
,,,,,
8, Thu, 04 May 2017 17:14:14 ,30.5937,-1314,32.3437
,,,,,
9, Thu, 04 May 2017 17:23:20 ,28.0625,-1261,30.2125
,,,,,
10, Thu, 04 May 2017 17:32:26 ,27.8937,-1429,30.2187
,,,,,
11, Thu, 04 May 2017 17:41:32 ,26.75,-1277,29.275
,,,,,
12, Thu, 04 May 2017 17:50:38 ,28.75,-1370,30.5
,,,,,
13, Thu, 04 May 2017 17:59:44 ,28.95,-1350,30.5
,,,,,
14, Thu, 04 May 2017 18:08:50 ,28.6875,-1350,30.0625
,,,,,
15, Thu, 04 May 2017 18:17:56 ,30.7374,-1385,31.7125
,,,,,
16, Thu, 04 May 2017 18:27:02 ,28.1312,-1239,29.6812
,,,,,
17, Thu, 04 May 2017 18:36:08 ,26.275,-1235,28.225
,,,,,
18, Thu, 04 May 2017 18:45:14 ,25.9625,-1169,27.9125
,,,,,
19, Thu, 04 May 2017 18:54:20 ,23.9937,-1399,26.1437
,,,,,
20, Thu, 04 May 2017 19:03:26 ,25.7062,-1553,27.2562
,,,,,
21, Thu, 04 May 2017 19:12:32 ,27.1875,-1895,28.1625
,,,,,
22, Thu, 04 May 2017 19:21:38 ,26.6,-1539,27.975
,,,,,
23, Thu, 04 May 2017 19:30:43 ,25.3562,-1414,26.9312
,,,,,
24, Thu, 04 May 2017 19:39:49 ,26.3624,-1526,27.5375
,,,,,
25, Thu, 04 May 2017 19:48:55 ,26.1437,-1368,27.3187
,,,,,
26, Thu, 04 May 2017 19:58:01 ,25.6749,-1374,27.025
,,,,,
27, Thu, 04 May 2017 20:07:07 ,25.4874,-1421,26.6625
,,,,,
28, Thu, 04 May 2017 20:16:13 ,26.6875,-1402,27.6625
,,,,,
29, Thu, 04 May 2017 20:25:19 ,26.1749,-1586,27.35
,,,,,
30, Thu, 04 May 2017 20:34:25 ,25.6437,-1441,26.8187
,,,,,
31, Thu, 04 May 2017 20:43:31 ,25.8125,-1380,26.9625
,,,,,
32, Thu, 04 May 2017 20:52:36 ,25.2374,-1359,26.4125
,,,,,
33, Thu, 04 May 2017 21:01:42 ,24.1625,-1816,25.7125
,,,,,
34, Thu, 04 May 2017 21:10:48 ,23.8624,-1423,25.2125
,,,,,
35, Thu, 04 May 2017 21:19:54 ,23.5937,-1410,24.7437
,,,,,
36, Thu, 04 May 2017 21:29:00 ,23.6124,-1440,24.9874
,,,,,
37, Thu, 04 May 2017 21:38:06 ,23.75,-1443,24.9249
,,,,,
