heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.196000,-755.998933,0.193000,25.150000,0.128000,25.550000,
0.388000,-755.103200,0.387000,25.016667,0.322000,25.683333,
0.585000,-757.342533,0.581000,24.859722,0.517000,25.748611,
0.779000,-756.894667,0.776000,24.690741,0.712000,25.770370,
0.972000,-755.103200,0.970000,24.501080,0.906000,25.777623,
1.169000,-755.103200,1.165000,24.171193,1.100000,25.780041,
1.365000,-755.103200,1.360000,23.811231,1.295000,25.897514,
1.558000,-756.446800,1.554000,23.557910,1.489000,25.936671,
1.750000,-755.103200,1.748000,23.360970,1.683000,25.970557,
1.945000,-755.551067,1.942000,23.161990,1.878000,25.981852,
2.138000,-755.551067,2.137000,22.962330,2.073000,25.985617,
2.333000,-753.311733,2.331000,22.895777,2.267000,25.986872,
2.526000,-755.103200,2.525000,22.756926,2.461000,25.987291,
2.722000,-753.759600,2.720000,22.577309,2.655000,25.987430,
2.917000,-755.103200,2.914000,22.384103,2.850000,25.987477,
3.113000,-754.655333,3.109000,22.186368,3.044000,25.870826,
3.307000,-755.103200,3.303000,21.987123,3.239000,25.948609,
3.499000,-755.998933,3.497000,21.920708,3.433000,25.974536,
3.693000,-756.446800,3.692000,21.898569,3.627000,25.983179,
3.887000,-753.311733,3.886000,21.757856,3.822000,25.986060,
4.082000,-757.790400,4.081000,21.594285,4.016000,25.987020,
4.277000,-753.759600,4.275000,21.539762,4.211000,25.987340,
4.472000,-755.551067,4.469000,21.388254,4.405000,25.870780,
4.666000,-752.863867,4.664000,21.337751,4.600000,25.948593,
4.861000,-755.103200,4.858000,21.320917,4.793000,25.857864,
5.054000,-753.759600,5.053000,21.181972,4.988000,25.944288,
5.249000,-755.103200,5.247000,21.135657,5.183000,25.973096,
5.443000,-755.103200,5.441000,21.120219,5.377000,25.982699,
5.637000,-755.998933,5.636000,20.981740,5.572000,25.985900,
5.836000,-753.311733,5.830000,20.935580,5.765000,25.986967,
6.026000,-753.759600,6.024000,20.920193,5.960000,25.987322,
6.221000,-753.759600,6.219000,20.915064,6.154000,25.987441,
6.415000,-753.311733,6.413000,20.913355,6.349000,25.987480,
6.612000,-754.207467,6.608000,20.779452,6.543000,25.870827,
6.804000,-753.759600,6.802000,20.734817,6.738000,25.948609,
6.998000,-754.655333,6.996000,20.719939,6.932000,25.974536,
7.192000,-754.207467,7.191000,20.714980,7.126000,25.983179,
7.387000,-752.863867,7.385000,20.713327,7.321000,25.986060,
7.582000,-754.207467,7.580000,20.596109,7.516000,25.987020,
7.776000,-752.416000,7.774000,20.557036,7.710000,25.987340,
7.970000,-755.551067,7.968000,20.544012,7.904000,25.870780,
8.166000,-751.968133,8.163000,20.560504,8.098000,25.969427,
8.359000,-753.311733,8.357000,20.432668,8.293000,26.002309,
8.553000,-753.759600,8.552000,20.390056,8.487000,26.013270,
8.751000,-752.863867,8.746000,20.355019,8.681000,25.996090,
8.942000,-753.759600,8.940000,20.343340,8.876000,25.990363,
9.137000,-751.968133,9.135000,20.339447,9.071000,25.988454,
9.335000,-753.759600,9.329000,20.225649,9.265000,26.008651,
9.525000,-751.968133,9.524000,20.187716,9.459000,26.015384,
9.720000,-751.968133,9.718000,20.175072,9.654000,26.017628,
9.917000,-751.072400,9.913000,20.170857,9.848000,26.018376,
10.110000,-751.968133,10.107000,20.169452,10.043000,26.018625,
10.309000,-754.655333,10.302000,20.168984,10.237000,26.018708,
10.501000,-753.759600,10.496000,20.168828,10.431000,26.018736,
10.692000,-757.342533,10.690000,20.035443,10.626000,26.018745,
10.890000,-753.759600,10.885000,19.990981,10.820000,26.018748,
11.081000,-750.624533,11.079000,19.976160,11.015000,26.018749,
11.275000,-751.520267,11.273000,19.971220,11.209000,26.018750,
11.481000,-752.416000,11.468000,19.969573,11.403000,26.018750,
11.663000,-751.072400,11.662000,19.969024,11.598000,26.018750,
11.859000,-750.176667,11.857000,19.835508,11.792000,26.018750,
12.054000,-750.624533,12.051000,19.791003,11.987000,26.018750,
12.248000,-751.520267,12.246000,19.776168,12.182000,26.018750,
12.442000,-749.280933,12.440000,19.771223,12.375000,25.902083,
12.636000,-751.072400,12.634000,19.769574,12.570000,25.863194,
12.830000,-751.072400,12.829000,19.769025,12.765000,25.966898,
13.024000,-751.968133,13.023000,19.768842,12.959000,26.001466,
13.220000,-752.416000,13.218000,19.652114,13.153000,26.012989,
13.414000,-750.624533,13.412000,19.613205,13.348000,25.900163,
13.608000,-751.968133,13.606000,19.716902,13.542000,25.979221,
13.808000,-752.416000,13.801000,19.634801,13.736000,26.005574,
13.997000,-750.624533,13.995000,19.607434,13.931000,25.897691,
14.193000,-752.863867,14.190000,19.598311,14.125000,25.978397,
14.387000,-749.280933,14.384000,19.595270,14.320000,26.005299,
14.580000,-749.728800,14.578000,19.615090,14.514000,26.035100,
14.774000,-751.072400,14.773000,19.621697,14.709000,26.045033,
14.972000,-755.998933,14.967000,19.603066,14.902000,26.027511,
15.171000,-751.520267,15.162000,19.596855,15.097000,26.021670,
15.358000,-752.416000,15.356000,19.594785,15.291000,26.019723,
15.554000,-751.520267,15.551000,19.594095,15.486000,26.019074,
15.747000,-748.833067,15.745000,19.593865,15.681000,26.018858,
15.940000,-750.176667,15.939000,19.460455,15.875000,26.018786,
16.136000,-750.176667,16.134000,19.415985,16.069000,25.902095,
16.333000,-750.624533,16.328000,19.534495,16.264000,25.979865,
16.526000,-749.728800,16.522000,19.440665,16.458000,25.889122,
16.722000,-750.624533,16.718000,19.430222,16.653000,25.879707,
16.924000,-751.072400,16.912000,19.426741,16.848000,25.993236,
17.110000,-750.624533,17.107000,19.425580,17.042000,26.031079,
17.306000,-748.385200,17.301000,19.404360,17.237000,26.022860,
17.497000,-750.176667,17.495000,19.397287,17.431000,25.903453,
17.692000,-751.520267,17.690000,19.394929,17.626000,25.863651,
17.886000,-750.176667,17.884000,19.394143,17.820000,25.850384,
18.080000,-750.176667,18.079000,19.393881,18.014000,25.962628,
18.285000,-751.968133,18.273000,19.393794,18.208000,26.000043,
18.471000,-749.728800,18.467000,19.393765,18.403000,26.012514,
18.665000,-749.728800,18.662000,19.393755,18.597000,25.900005,
18.857000,-752.416000,18.856000,19.393752,18.792000,25.979168,
19.052000,-749.280933,19.051000,19.393751,18.986000,26.005556,
19.248000,-750.176667,19.245000,19.393750,19.181000,26.014352,
19.444000,-749.728800,19.440000,19.260417,19.376000,26.017284,
19.639000,-750.176667,19.634000,19.349306,19.569000,26.018261,
19.830000,-748.385200,19.828000,19.245602,19.764000,25.901920,
20.027000,-749.728800,20.023000,19.211034,19.958000,25.979807,
20.219000,-749.728800,20.217000,19.199511,20.153000,26.005769,
20.423000,-749.728800,20.413000,19.195670,20.347000,25.897756,
20.609000,-750.624533,20.606000,19.194390,20.541000,25.861752,
20.805000,-751.072400,20.801000,19.193963,20.736000,25.966417,
20.996000,-747.937333,20.995000,19.193821,20.930000,26.001306,
21.190000,-748.833067,21.189000,19.193774,21.125000,26.012935,
21.386000,-750.624533,21.384000,19.214591,21.319000,26.037645,
