heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.194000,-31.081947,0.193000,23.975000,0.128000,25.750000,
0.391000,-38.247813,0.387000,23.725000,0.323000,25.750000,
0.586000,-44.965813,0.582000,23.375000,0.517000,25.750000,
0.778000,-47.653013,0.776000,23.125000,0.711000,25.750000,
0.974000,-51.235947,0.970000,22.908333,0.906000,25.750000,
1.170000,-54.818880,1.165000,22.586111,1.100000,25.750000,
1.361000,-57.953947,1.359000,22.345370,1.294000,25.750000,
1.555000,-60.641147,1.553000,22.131790,1.488000,25.750000,
1.751000,-62.432613,1.748000,21.906430,1.683000,25.729167,
1.946000,-62.880480,1.942000,21.581310,1.877000,25.722222,
2.140000,-64.671947,2.136000,21.339603,2.072000,25.719907,
2.336000,-67.359147,2.331000,21.125701,2.266000,25.719136,
2.528000,-70.046347,2.525000,21.054400,2.461000,25.718879,
2.723000,-71.389947,2.721000,20.897300,2.656000,25.718793,
2.920000,-71.389947,2.915000,20.844933,2.851000,25.718764,
3.115000,-70.942080,3.110000,20.694144,3.045000,25.718755,
3.305000,-71.837813,3.304000,20.664715,3.239000,25.739585,
3.503000,-71.837813,3.498000,20.517405,3.434000,25.725695,
3.696000,-73.629280,3.693000,20.468302,3.628000,25.721065,
3.891000,-73.181413,3.887000,20.451934,3.822000,25.719522,
4.083000,-74.077147,4.081000,20.313145,4.016000,25.719007,
4.284000,-76.316480,4.276000,20.266882,4.211000,25.718836,
4.474000,-73.181413,4.470000,20.118127,4.405000,25.718779,
4.668000,-73.181413,4.665000,20.068542,4.600000,25.718760,
4.864000,-73.181413,4.859000,20.052014,4.794000,25.718753,
5.065000,-73.629280,5.054000,20.046505,4.989000,25.718751,
5.253000,-74.972880,5.248000,20.044668,5.183000,25.718750,
5.447000,-75.868613,5.443000,19.910723,5.377000,25.718750,
5.640000,-75.420747,5.637000,19.866074,5.573000,25.718750,
5.834000,-74.525013,5.831000,19.851191,5.766000,25.718750,
6.031000,-74.972880,6.025000,19.846230,5.961000,25.718750,
6.224000,-76.316480,6.220000,19.844577,6.155000,25.718750,
6.419000,-78.555813,6.414000,19.844026,6.350000,25.718750,
6.613000,-79.451547,6.609000,19.710509,6.544000,25.718750,
6.816000,-79.003680,6.803000,19.666003,6.739000,25.718750,
7.000000,-78.107947,6.997000,19.651168,6.933000,25.718750,
7.195000,-77.660080,7.192000,19.646223,7.128000,25.718750,
7.406000,-76.764347,7.387000,19.644574,7.321000,25.718750,
7.586000,-75.868613,7.581000,19.644025,7.516000,25.718750,
7.782000,-75.420747,7.775000,19.643842,7.710000,25.718750,
7.973000,-74.972880,7.969000,19.527114,7.905000,25.718750,
8.168000,-74.972880,8.164000,19.488205,8.099000,25.718750,
8.364000,-75.420747,8.358000,19.475235,8.294000,25.718750,
8.556000,-74.972880,8.553000,19.470912,8.488000,25.718750,
8.752000,-75.420747,8.747000,19.469471,8.682000,25.718750,
8.945000,-75.868613,8.941000,19.468990,8.877000,25.718750,
9.140000,-77.212213,9.136000,19.468830,9.071000,25.718750,
9.339000,-78.107947,9.330000,19.468777,9.265000,25.718750,
9.528000,-78.107947,9.525000,19.468759,9.459000,25.718750,
9.723000,-78.107947,9.719000,19.468753,9.654000,25.718750,
9.918000,-78.107947,9.913000,19.447918,9.849000,25.697917,
10.117000,-78.555813,10.108000,19.440973,10.043000,25.690972,
10.307000,-77.660080,10.303000,19.305324,10.237000,25.688657,
10.497000,-78.107947,10.496000,19.260108,10.432000,25.687886,
10.696000,-77.660080,10.691000,19.245036,10.626000,25.687629,
10.891000,-76.764347,10.886000,19.240012,10.821000,25.687543,
11.085000,-76.316480,11.080000,19.238337,11.015000,25.687514,
11.283000,-76.764347,11.274000,19.237779,11.209000,25.687505,
11.473000,-76.764347,11.469000,19.237593,11.404000,25.687502,
11.666000,-77.660080,11.663000,19.237531,11.598000,25.687501,
11.861000,-77.212213,11.857000,19.237510,11.792000,25.687500,
12.080000,-77.660080,12.051000,19.237503,11.987000,25.687500,
12.251000,-77.660080,12.246000,19.104168,12.181000,25.687500,
12.444000,-77.212213,12.440000,19.193056,12.376000,25.687500,
