heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.194000,-223.485467,0.193000,26.875000,0.128000,30.000000,
0.390000,-222.141867,0.388000,26.341667,0.323000,30.000000,
0.585000,-223.485467,0.582000,25.647222,0.518000,30.000000,
0.777000,-223.485467,0.776000,25.032407,0.711000,30.000000,
0.974000,-223.485467,0.970000,24.294136,0.906000,30.000000,
1.166000,-224.829067,1.165000,23.510545,1.100000,29.979167,
1.361000,-221.694000,1.359000,22.866015,1.295000,29.972222,
1.555000,-223.485467,1.553000,22.384505,1.489000,29.969907,
1.749000,-223.933333,1.748000,21.840668,1.683000,29.969136,
1.945000,-223.933333,1.942000,21.392723,1.878000,29.968879,
2.137000,-224.829067,2.137000,20.976741,2.072000,29.968793,
2.332000,-224.829067,2.331000,20.588080,2.266000,29.968764,
2.526000,-223.485467,2.525000,20.058527,2.461000,29.968755,
2.722000,-223.037600,2.719000,19.748676,2.655000,29.968752,
2.916000,-223.037600,2.914000,19.416225,2.849000,29.989584,
3.111000,-224.381200,3.108000,19.172075,3.044000,29.996528,
3.304000,-225.724800,3.302000,18.803192,3.238000,29.978009,
3.498000,-225.724800,3.497000,18.563564,3.433000,29.971836,
3.693000,-223.933333,3.691000,18.217021,3.627000,29.969779,
3.889000,-224.829067,3.886000,17.968174,3.821000,29.969093,
4.082000,-223.485467,4.080000,17.751891,4.015000,29.968864,
4.276000,-222.589733,4.274000,17.563130,4.210000,29.968788,
4.471000,-224.829067,4.469000,17.366877,4.404000,29.968763,
4.664000,-224.829067,4.663000,17.168126,4.598000,29.968754,
4.858000,-223.933333,4.857000,16.968542,4.793000,29.968751,
5.054000,-225.276933,5.052000,16.902014,4.987000,29.968750,
5.248000,-223.485467,5.246000,16.746505,5.181000,29.968750,
5.441000,-224.381200,5.440000,16.561335,5.375000,29.968750,
5.636000,-222.141867,5.634000,16.382945,5.570000,29.968750,
5.830000,-222.589733,5.829000,16.323482,5.765000,29.968750,
6.024000,-223.933333,6.023000,16.036994,5.959000,29.968750,
6.219000,-225.276933,6.218000,15.941498,6.153000,29.968750,
6.415000,-223.933333,6.412000,15.909666,6.347000,29.968750,
6.608000,-223.485467,6.606000,15.765722,6.542000,29.968750,
6.803000,-223.485467,6.801000,15.717741,6.736000,29.968750,
6.996000,-223.933333,6.995000,15.568414,6.930000,29.968750,
7.192000,-224.829067,7.189000,15.401971,7.125000,29.968750,
7.388000,-221.246133,7.384000,15.346490,7.319000,29.968750,
7.583000,-223.933333,7.578000,15.348830,7.514000,29.989583,
7.775000,-225.276933,7.772000,15.216277,7.708000,29.996528,
7.968000,-224.381200,7.967000,15.172092,7.902000,29.998843,
8.164000,-221.246133,8.161000,15.024031,8.097000,29.999614,
8.357000,-223.037600,8.356000,14.974677,8.291000,29.999871,
8.552000,-223.037600,8.549000,14.958226,8.485000,29.999957,
8.746000,-225.724800,8.744000,14.819409,8.680000,29.999986,
8.943000,-223.037600,8.938000,14.752303,8.874000,29.979162,
9.138000,-222.589733,9.133000,14.617434,9.068000,29.993054,
9.329000,-222.141867,9.327000,14.551645,9.263000,29.976851,
9.524000,-224.381200,9.521000,14.529715,9.457000,29.971450,
9.717000,-223.933333,9.715000,14.522405,9.651000,29.969650,
9.911000,-223.485467,9.910000,14.403302,9.845000,29.969050,
10.107000,-224.381200,10.104000,14.363601,10.039000,29.968850,
10.300000,-223.485467,10.299000,14.350367,10.234000,29.968783,
10.494000,-221.694000,10.493000,14.345956,10.428000,29.968761,
10.690000,-222.141867,10.687000,14.211152,10.623000,29.968754,
10.886000,-223.037600,10.882000,14.166217,10.817000,29.968751,
11.077000,-224.829067,11.076000,14.130406,11.011000,29.947917,
11.271000,-222.589733,11.270000,14.139302,11.206000,29.961806,
11.466000,-222.141867,11.465000,14.008934,11.400000,29.966435,
11.661000,-223.037600,11.659000,13.965478,11.594000,29.967978,
11.855000,-222.141867,11.853000,13.950993,11.789000,29.968493,
12.050000,-224.381200,12.049000,13.946164,11.984000,29.968664,
12.244000,-223.933333,12.243000,13.811221,12.179000,29.968721,
12.441000,-223.933333,12.437000,13.766240,12.373000,29.968740,
12.634000,-223.485467,12.632000,13.751247,12.567000,29.968747,
12.831000,-220.350400,12.827000,13.746249,12.761000,29.968749,
13.023000,-226.172667,13.020000,13.611250,12.956000,29.968750,
13.216000,-222.141867,13.214000,13.587083,13.150000,29.989583,
13.417000,-221.694000,13.409000,13.579028,13.345000,29.996528,
13.608000,-222.141867,13.604000,13.576343,13.539000,29.998843,
13.799000,-223.037600,13.797000,13.575448,13.733000,29.999614,
13.993000,-220.798267,13.992000,13.441816,13.927000,29.999871,
14.190000,-223.485467,14.186000,13.530605,14.121000,29.999957,
14.385000,-220.798267,14.380000,13.426868,14.316000,29.999986,
14.576000,-225.276933,14.575000,13.392289,14.510000,29.999995,
14.771000,-223.037600,14.769000,13.380763,14.704000,29.999998,
14.969000,-224.381200,14.964000,13.376921,14.899000,29.999999,
15.160000,-225.724800,15.158000,13.354807,15.094000,29.979166,
15.353000,-225.276933,15.352000,13.347436,15.287000,29.972222,
15.549000,-223.933333,15.546000,13.344979,15.482000,29.969907,
15.743000,-223.933333,15.741000,13.344160,15.676000,29.969136,
15.940000,-222.141867,15.935000,13.227220,15.870000,29.968879,
16.132000,-222.141867,16.129000,13.188240,16.065000,29.968793,
16.329000,-222.589733,16.324000,13.291913,16.260000,29.968764,
16.520000,-223.037600,16.518000,13.209804,16.453000,29.968755,
16.714000,-220.350400,16.712000,13.182435,16.648000,29.968752,
16.912000,-221.694000,16.907000,13.173312,16.842000,29.968751,
17.105000,-223.933333,17.101000,13.170271,17.036000,29.968750,
17.297000,-220.798267,17.295000,13.035924,17.231000,29.968750,
17.492000,-223.037600,17.490000,12.991141,17.425000,29.968750,
17.685000,-221.246133,17.684000,12.976214,17.619000,29.968750,
17.880000,-225.276933,17.878000,12.971238,17.814000,29.968750,
18.075000,-225.276933,18.073000,12.969579,18.008000,29.968750,
18.268000,-224.381200,18.267000,12.969026,18.203000,29.968750,
18.463000,-224.829067,18.461000,12.968842,18.397000,29.968750,
18.657000,-220.798267,18.656000,12.968781,18.591000,29.968750,
18.852000,-223.037600,18.850000,12.968760,18.786000,29.968750,
19.047000,-224.381200,19.044000,12.835420,18.980000,29.968750,
19.246000,-221.694000,19.239000,12.790973,19.174000,29.968750,
19.436000,-223.485467,19.433000,12.776158,19.369000,29.968750,
19.630000,-222.589733,19.627000,12.792053,19.563000,29.989583,
19.824000,-223.037600,19.822000,12.797351,19.757000,29.996528,
20.018000,-222.589733,20.016000,12.932450,19.951000,29.998843,
20.212000,-222.141867,20.210000,12.844150,20.146000,29.999614,
20.406000,-222.141867,20.405000,12.814717,20.340000,29.999871,
20.600000,-221.694000,20.599000,12.804906,20.534000,29.999957,
20.797000,-222.589733,20.793000,12.801635,20.729000,29.999986,
20.988000,-222.589733,20.988000,12.800545,20.923000,29.999995,
21.184000,-223.485467,21.182000,12.800182,21.117000,29.999998,
21.380000,-224.829067,21.376000,12.800061,21.311000,29.999999,
21.573000,-222.141867,21.570000,12.800020,21.506000,30.000000,
21.767000,-221.246133,21.765000,12.645840,21.700000,29.979167,
21.962000,-222.141867,21.959000,12.594447,21.895000,29.972222,
22.157000,-223.485467,22.154000,12.577316,22.089000,29.969907,
22.350000,-223.933333,22.348000,12.571605,22.284000,29.969136,
22.547000,-223.485467,22.542000,12.569702,22.478000,29.968879,
22.738000,-221.246133,22.736000,12.569067,22.672000,29.968793,
22.932000,-221.246133,22.931000,12.568856,22.866000,29.968764,
23.130000,-222.589733,23.125000,12.568785,23.061000,29.968755,
23.321000,-221.694000,23.320000,12.568762,23.255000,29.968752,
23.517000,-222.141867,23.514000,12.568754,23.450000,29.968751,
23.710000,-219.902533,23.708000,12.568751,23.644000,29.968750,
23.904000,-221.694000,23.903000,12.568750,23.838000,29.968750,
24.099000,-223.037600,24.097000,12.435417,24.032000,29.968750,
24.293000,-222.141867,24.291000,12.390972,24.226000,29.968750,
24.487000,-223.485467,24.486000,12.376157,24.421000,29.968750,
24.681000,-223.485467,24.680000,12.371219,24.616000,29.968750,
24.878000,-220.798267,24.874000,12.369573,24.810000,29.968750,
25.073000,-220.798267,25.069000,12.389858,25.004000,29.989583,
25.264000,-224.829067,25.263000,12.396619,25.198000,29.996528,
25.458000,-223.933333,25.457000,12.378040,25.392000,29.978009,
25.654000,-221.694000,25.652000,12.371847,25.587000,29.971836,
25.848000,-221.246133,25.846000,12.369782,25.781000,29.969779,
26.042000,-223.037600,26.040000,12.369094,25.976000,29.969093,
26.240000,-222.589733,26.236000,12.368865,26.170000,29.968864,
26.431000,-219.902533,26.429000,12.252122,26.365000,29.968788,
26.625000,-223.037600,26.623000,12.329874,26.559000,29.968763,
26.820000,-222.141867,26.818000,12.355791,26.753000,29.968754,
27.014000,-222.589733,27.012000,12.364430,26.947000,29.968751,
27.208000,-220.350400,27.206000,12.250643,27.142000,29.968750,
27.403000,-223.037600,27.401000,12.329381,27.336000,29.968750,
27.598000,-221.246133,27.595000,12.238960,27.530000,29.968750,
27.791000,-222.141867,27.789000,12.208820,27.725000,29.968750,
27.986000,-223.037600,27.984000,12.198773,27.919000,29.968750,
28.179000,-222.141867,28.178000,12.195424,28.114000,29.968750,
28.374000,-222.141867,28.372000,12.194308,28.308000,29.968750,
28.568000,-221.694000,28.567000,12.193936,28.502000,29.968750,
28.763000,-222.589733,28.761000,12.193812,28.696000,29.968750,
28.957000,-223.485467,28.955000,12.193771,28.891000,29.968750,
29.151000,-222.589733,29.150000,12.193757,29.085000,29.968750,
29.346000,-223.037600,29.344000,12.193752,29.279000,29.968750,
29.541000,-222.141867,29.539000,12.193751,29.475000,29.968750,
29.736000,-221.246133,29.734000,12.193750,29.669000,29.968750,
29.930000,-219.454667,29.928000,12.193750,29.864000,29.968750,
30.126000,-223.037600,30.123000,12.193750,30.058000,29.968750,
30.318000,-222.141867,30.317000,12.193750,30.252000,29.968750,
30.514000,-223.485467,30.511000,12.193750,30.447000,29.968750,
30.710000,-222.589733,30.706000,12.060417,30.641000,29.968750,
30.901000,-222.589733,30.900000,12.149306,30.835000,29.968750,
31.096000,-223.037600,31.094000,12.045602,31.030000,29.968750,
31.290000,-221.694000,31.289000,11.990201,31.224000,29.947917,
31.485000,-220.798267,31.483000,11.992567,31.418000,29.961806,
31.679000,-223.485467,31.677000,11.993356,31.614000,29.966435,
31.874000,-222.141867,31.871000,11.993619,31.807000,29.967978,
32.075000,-223.037600,32.066000,11.993706,32.001000,29.968493,
32.261000,-222.589733,32.260000,11.993735,32.196000,29.968664,
32.457000,-222.141867,32.455000,11.993745,32.390000,29.968721,
32.650000,-223.485467,32.649000,11.993748,32.584000,29.968740,
32.845000,-222.589733,32.843000,11.993749,32.779000,29.968747,
33.039000,-223.037600,33.038000,11.993750,32.974000,29.968749,
33.233000,-222.589733,33.232000,11.993750,33.167000,29.968750,
33.428000,-223.933333,33.426000,11.860417,33.362000,29.968750,
33.622000,-223.037600,33.621000,11.949306,33.556000,29.968750,
33.818000,-222.589733,33.815000,11.978935,33.751000,29.968750,
34.011000,-219.454667,34.009000,11.855478,33.945000,29.968750,
34.209000,-223.037600,34.204000,11.814326,34.139000,29.968750,
34.400000,-222.589733,34.398000,11.800609,34.334000,29.968750,
34.596000,-224.381200,34.592000,11.929370,34.528000,29.968750,
34.790000,-223.037600,34.787000,11.972290,34.723000,29.968750,
34.983000,-222.589733,34.981000,11.853263,34.917000,29.968750,
35.177000,-223.485467,35.175000,11.813588,35.111000,29.968750,
35.373000,-222.589733,35.370000,11.800363,35.305000,29.968750,
35.567000,-223.037600,35.564000,11.795954,35.500000,29.968750,
35.764000,-222.141867,35.759000,11.794485,35.694000,29.968750,
35.955000,-223.037600,35.953000,11.793995,35.888000,29.968750,
36.148000,-223.933333,36.147000,11.793832,36.083000,29.968750,
36.343000,-221.694000,36.341000,11.793777,36.277000,29.968750,
36.541000,-222.589733,36.536000,11.793759,36.471000,29.968750,
36.732000,-222.589733,36.730000,11.793753,36.665000,29.968750,
36.926000,-223.933333,36.924000,11.793751,36.860000,29.968750,
37.121000,-224.381200,37.119000,11.793750,37.054000,29.968750,
37.314000,-222.589733,37.313000,11.793750,37.249000,29.968750,
37.508000,-220.350400,37.507000,11.772917,37.443000,29.947917,
37.703000,-221.246133,37.702000,11.765972,37.637000,29.940972,
37.898000,-224.381200,37.896000,11.784491,37.832000,29.959491,
38.093000,-222.589733,38.091000,11.790664,38.026000,29.965664,
38.286000,-224.829067,38.285000,11.792721,38.220000,29.967721,
38.481000,-222.589733,38.479000,11.793407,38.415000,29.968407,
38.675000,-224.381200,38.674000,11.793636,38.609000,29.968636,
38.869000,-221.246133,38.868000,11.793712,38.803000,29.968712,
39.064000,-223.933333,39.062000,11.681237,38.998000,29.989571,
39.259000,-223.485467,39.257000,11.777079,39.192000,29.996524,
39.454000,-224.829067,39.451000,11.675693,39.386000,29.998841,
39.648000,-224.381200,39.645000,11.641898,39.580000,29.999614,
39.840000,-225.276933,39.839000,11.630633,39.775000,29.999871,
40.036000,-222.589733,40.034000,11.626878,39.969000,29.999957,
40.231000,-224.829067,40.228000,11.758959,40.164000,29.999986,
40.427000,-222.141867,40.422000,11.669653,40.358000,29.999995,
40.618000,-223.037600,40.617000,11.773218,40.552000,29.999998,
40.813000,-223.037600,40.811000,11.674406,40.746000,29.999999,
41.008000,-224.829067,41.005000,11.662302,40.941000,30.020833,
41.201000,-223.485467,41.199000,11.637434,41.135000,30.006944,
41.396000,-224.381200,41.394000,11.649978,41.329000,30.023148,
41.590000,-223.485467,41.588000,11.633326,41.524000,30.007716,
41.784000,-223.037600,41.782000,11.627775,41.718000,30.002572,
41.978000,-221.246133,41.977000,11.625925,41.913000,30.000857,
42.172000,-222.589733,42.171000,11.625308,42.107000,30.000286,
42.366000,-221.694000,42.365000,11.625103,42.301000,30.000095,
42.563000,-223.485467,42.560000,11.625034,42.495000,30.000032,
42.755000,-222.589733,42.754000,11.625011,42.689000,30.000011,
42.949000,-223.485467,42.948000,11.625004,42.884000,30.000004,
43.144000,-223.485467,43.142000,11.625001,43.078000,30.000001,
43.338000,-223.037600,43.337000,11.625000,43.273000,30.000000,
43.533000,-223.933333,43.531000,11.625000,43.467000,30.000000,
43.727000,-222.589733,43.725000,11.625000,43.661000,30.000000,
43.925000,-223.037600,43.920000,11.625000,43.855000,30.000000,
44.117000,-223.037600,44.114000,11.625000,44.050000,30.000000,
44.309000,-224.829067,44.308000,11.625000,44.244000,30.000000,
44.504000,-223.485467,44.502000,11.625000,44.438000,30.000000,
44.702000,-225.724800,44.697000,11.625000,44.632000,30.000000,
44.893000,-224.381200,44.891000,11.625000,44.827000,30.000000,
45.087000,-222.589733,45.085000,11.625000,45.021000,30.000000,
45.281000,-221.694000,45.280000,11.625000,45.215000,30.000000,
45.476000,-224.381200,45.474000,11.625000,45.409000,30.000000,
45.670000,-223.037600,45.668000,11.625000,45.604000,30.000000,
45.866000,-226.172667,45.863000,11.625000,45.798000,30.000000,
46.058000,-224.381200,46.057000,11.491667,45.993000,30.000000,
46.254000,-222.589733,46.251000,11.559722,46.187000,29.979167,
46.447000,-223.037600,46.446000,11.582407,46.381000,29.972222,
46.641000,-223.485467,46.640000,11.589969,46.575000,29.969907,
46.835000,-223.037600,46.834000,11.592490,46.770000,29.969136,
47.035000,-225.724800,47.030000,11.593330,46.965000,29.968879,
47.225000,-222.589733,47.224000,11.593610,47.160000,29.968793,
47.420000,-225.276933,47.418000,11.593703,47.354000,29.968764,
47.614000,-224.381200,47.613000,11.593734,47.548000,29.968755,
47.808000,-223.933333,47.807000,11.593745,47.742000,29.968752,
48.003000,-225.276933,48.001000,11.460415,47.937000,29.968751,
48.198000,-226.620533,48.196000,11.549305,48.132000,29.968750,
48.392000,-225.276933,48.390000,11.445602,48.325000,29.968750,
48.586000,-223.933333,48.584000,11.544367,48.520000,29.968750,
48.780000,-225.724800,48.779000,11.443956,48.714000,29.968750,
48.978000,-225.276933,48.973000,11.410485,48.909000,29.968750,
49.170000,-223.037600,49.167000,11.378495,49.103000,29.947917,
49.363000,-221.246133,49.362000,11.367832,49.297000,29.940972,
49.561000,-226.172667,49.556000,11.364277,49.492000,29.938657,
49.752000,-222.589733,49.750000,11.363092,49.686000,29.937886,
49.949000,-223.485467,49.945000,11.383531,49.880000,29.958462,
50.140000,-226.172667,50.139000,11.390344,50.074000,29.965321,
50.334000,-222.141867,50.333000,11.392615,50.269000,29.967607,
50.529000,-225.276933,50.528000,11.393372,50.463000,29.968369,
50.724000,-224.829067,50.722000,11.393624,50.658000,29.968623,
50.918000,-225.276933,50.916000,11.393708,50.852000,29.968708,
51.113000,-226.172667,51.111000,11.393736,51.046000,29.968736,
51.308000,-222.141867,51.305000,11.393745,51.241000,29.968745,
51.501000,-223.037600,51.499000,11.393748,51.435000,29.968748,
51.696000,-224.381200,51.694000,11.393749,51.629000,29.968749,
51.890000,-223.485467,51.888000,11.393750,51.823000,29.968750,
52.083000,-222.589733,52.082000,11.277083,52.019000,29.968750,
52.278000,-222.589733,52.277000,11.354861,52.213000,29.968750,
52.473000,-224.829067,52.471000,11.264120,52.407000,29.968750,
52.669000,-224.829067,52.666000,11.233873,52.601000,29.968750,
52.863000,-225.276933,52.860000,11.340458,52.796000,29.968750,
53.058000,-224.829067,53.054000,11.259319,52.990000,29.968750,
53.250000,-224.829067,53.249000,11.232273,53.184000,29.968750,
53.445000,-224.381200,53.443000,11.339924,53.378000,29.968750,
53.641000,-224.829067,53.637000,11.259141,53.573000,29.968750,
53.834000,-221.694000,53.832000,11.348880,53.767000,29.968750,
