heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.195000,-625.221867,0.193000,21.843750,0.129000,25.968750,
0.393000,-633.731333,0.388000,21.327083,0.322000,25.968750,
0.583000,-639.105733,0.582000,20.904861,0.517000,25.968750,
0.777000,-645.823733,0.776000,20.364120,0.712000,26.085417,
0.974000,-653.437467,0.971000,19.800540,0.906000,26.007639,
1.169000,-658.811867,1.165000,19.346013,1.100000,25.981713,
1.363000,-663.738400,1.359000,19.061171,1.295000,25.973071,
1.556000,-667.321333,1.554000,18.716224,1.489000,25.970190,
1.751000,-670.008533,1.748000,18.334575,1.683000,25.969230,
1.944000,-672.695733,1.943000,18.074025,1.878000,25.968910,
2.139000,-674.039333,2.137000,17.737175,2.073000,26.085470,
2.334000,-675.382933,2.331000,17.491558,2.267000,26.007657,
2.528000,-676.278667,2.526000,17.276353,2.461000,26.098386,
2.723000,-677.622267,2.720000,17.204618,2.656000,26.011962,
2.931000,-679.413733,2.915000,17.047373,2.850000,25.983154,
3.114000,-679.861600,3.109000,16.861624,3.045000,25.973551,
3.307000,-681.205200,3.304000,16.683041,3.239000,25.970350,
3.502000,-681.205200,3.498000,16.623514,3.434000,25.969283,
3.695000,-681.653067,3.693000,16.470338,3.628000,25.968928,
3.892000,-680.757333,3.887000,16.419279,3.822000,25.968809,
4.083000,-679.861600,4.081000,16.268926,4.017000,26.085436,
4.278000,-680.309467,4.276000,16.218809,4.211000,26.124312,
4.473000,-682.548800,4.470000,16.068770,4.406000,26.020604,
4.668000,-682.548800,4.666000,16.039590,4.601000,26.006868,
4.862000,-684.340267,4.860000,15.875697,4.796000,25.981456,
5.056000,-686.131733,5.054000,15.821066,4.990000,25.972985,
5.252000,-686.579600,5.249000,15.802855,5.184000,25.970162,
5.447000,-686.131733,5.443000,15.796785,5.379000,25.969221,
5.639000,-685.683867,5.638000,15.661428,5.573000,25.968907,
5.835000,-685.236000,5.832000,15.616309,5.768000,25.968802,
6.028000,-686.579600,6.027000,15.601270,5.962000,25.968767,
6.223000,-686.131733,6.221000,15.596257,6.157000,26.085422,
6.418000,-685.236000,6.416000,15.594586,6.351000,26.007641,
6.612000,-683.444533,6.610000,15.594029,6.546000,25.981714,
6.806000,-686.131733,6.804000,15.477176,6.740000,25.973071,
7.000000,-687.475333,6.999000,15.438225,6.934000,26.086857,
7.195000,-688.371067,7.193000,15.425242,7.129000,26.008119,
7.390000,-689.714667,7.388000,15.420914,7.323000,25.981873,
7.585000,-690.610400,7.582000,15.419471,7.518000,26.089791,
7.778000,-690.610400,7.776000,15.418990,7.712000,26.009097,
7.972000,-690.610400,7.971000,15.418830,7.906000,25.982199,
8.169000,-691.058267,8.165000,15.285443,8.101000,25.973233,
8.368000,-690.610400,8.360000,15.240981,8.295000,25.970244,
8.557000,-691.506133,8.554000,15.226160,8.490000,25.969248,
8.753000,-693.297600,8.749000,15.221220,8.684000,25.968916,
8.950000,-694.641200,8.943000,15.198740,8.879000,25.947972,
9.139000,-695.089067,9.137000,15.191247,9.073000,25.940991,
9.333000,-695.089067,9.332000,15.188749,9.268000,25.938664,
9.529000,-695.536933,9.526000,15.187916,9.461000,25.937888,
9.723000,-694.193333,9.721000,15.054305,9.656000,25.937629,
9.916000,-695.536933,9.915000,15.143102,9.850000,25.937543,
10.114000,-695.984800,10.110000,15.172701,10.045000,25.937514,
10.305000,-696.432667,10.304000,15.182567,10.239000,25.937505,
