heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.193000,292.143427,0.191000,22.993750,0.127000,23.368750,
0.385000,318.567560,0.383000,22.993750,0.319000,23.368750,
0.576000,339.169427,0.575000,22.860417,0.511000,23.368750,
0.768000,355.740493,0.767000,22.815972,0.703000,23.368750,
0.963000,367.385027,0.959000,22.667824,0.895000,23.368750,
1.154000,377.685960,1.151000,22.618441,1.087000,23.368750,
1.346000,385.747560,1.342000,22.601980,1.279000,23.368750,
1.537000,392.465560,1.534000,22.463160,1.471000,23.368750,
1.733000,398.287827,1.726000,22.416887,1.663000,23.368750,
1.923000,403.662227,1.919000,22.401462,1.855000,23.368750,
2.115000,407.245160,2.111000,22.396321,2.046000,23.368750,
2.307000,410.828093,2.303000,22.277940,2.239000,23.368750,
2.498000,413.067427,2.495000,22.238480,2.431000,23.368750,
2.688000,415.306760,2.687000,22.091993,2.623000,23.368750,
2.880000,416.202493,2.879000,22.043164,2.815000,23.368750,
3.073000,417.098227,3.071000,22.026888,3.007000,23.368750,
3.266000,417.993960,3.263000,21.888129,3.199000,23.368750,
3.456000,418.889693,3.454000,21.841876,3.391000,23.368750,
3.648000,420.233293,3.646000,21.826459,3.583000,23.368750,
3.841000,417.993960,3.839000,21.687986,3.775000,23.368750,
4.033000,417.993960,4.030000,21.775162,3.967000,23.368750,
4.223000,419.785427,4.222000,21.670887,4.158000,23.368750,
4.416000,420.233293,4.414000,21.636129,4.350000,23.368750,
4.608000,419.785427,4.606000,21.491210,4.542000,23.368750,
4.802000,419.337560,4.798000,21.442903,4.734000,23.368750,
4.993000,417.993960,4.990000,21.293468,4.926000,23.368750,
5.184000,415.754627,5.182000,21.243656,5.118000,23.368750,
5.376000,417.546093,5.374000,21.227052,5.310000,23.368750,
5.567000,416.202493,5.566000,21.104851,5.502000,23.368750,
5.760000,414.858893,5.757000,21.064117,5.694000,23.368750,
5.953000,414.858893,5.950000,21.050539,5.886000,23.368750,
6.143000,410.828093,6.141000,21.046013,6.077000,23.368750,
6.335000,411.275960,6.333000,20.911171,6.270000,23.368750,
6.527000,410.380227,6.525000,20.866224,6.461000,23.368750,
6.718000,413.963160,6.717000,20.851241,6.653000,23.368750,
6.912000,412.171693,6.909000,20.846247,6.845000,23.368750,
7.103000,411.275960,7.101000,20.844582,7.037000,23.368750,
7.297000,411.275960,7.293000,20.844027,7.229000,23.368750,
7.486000,410.380227,7.485000,20.843842,7.421000,23.368750,
7.678000,409.036627,7.677000,20.710447,7.613000,23.368750,
7.870000,409.036627,7.868000,20.665982,7.805000,23.368750,
8.064000,407.245160,8.060000,20.651161,7.997000,23.368750,
8.255000,407.693027,8.252000,20.646220,8.188000,23.368750,
8.447000,405.901560,8.444000,20.644573,8.381000,23.368750,
8.640000,404.557960,8.636000,20.510691,8.572000,23.368750,
8.830000,402.766493,8.828000,20.466064,8.764000,23.368750,
9.021000,398.287827,9.020000,20.451188,8.956000,23.368750,
9.216000,398.735693,9.212000,20.446229,9.148000,23.368750,
9.406000,398.287827,9.404000,20.444576,9.340000,23.368750,
9.599000,398.287827,9.596000,20.444025,9.532000,23.368750,
9.789000,398.287827,9.788000,20.443842,9.724000,23.368750,
9.981000,390.674093,9.979000,20.443781,9.916000,23.368750,
10.175000,391.569827,10.171000,20.443760,10.108000,23.368750,
10.371000,397.392093,10.363000,20.310420,10.300000,23.368750,
10.559000,396.496360,10.555000,20.265973,10.492000,23.368750,
10.748000,395.600627,10.747000,20.251158,10.683000,23.368750,
10.941000,393.361293,10.939000,20.246219,10.875000,23.368750,
11.132000,392.017693,11.131000,20.244573,11.067000,23.368750,
11.325000,391.569827,11.323000,20.244024,11.259000,23.368750,
11.518000,390.226227,11.515000,20.243841,11.451000,23.368750,
11.708000,389.330493,11.706000,20.127114,11.643000,23.368750,
11.900000,389.330493,11.899000,20.088205,11.835000,23.502083,
12.094000,387.986893,12.091000,20.075235,12.027000,23.413194,
12.285000,386.643293,12.282000,20.070912,12.219000,23.383565,
12.478000,386.195427,12.474000,20.069471,12.410000,23.373688,
12.668000,384.403960,12.666000,20.068990,12.602000,23.370396,
12.862000,383.956093,12.858000,20.068830,12.794000,23.369299,
13.053000,383.060360,13.050000,20.068777,12.986000,23.368933,
13.246000,383.060360,13.242000,20.068759,13.178000,23.368811,
13.436000,383.060360,13.434000,20.068753,13.370000,23.368770,
13.628000,381.716760,13.626000,20.068751,13.562000,23.502090,
13.819000,379.477427,13.817000,19.935417,13.754000,23.413197,
14.015000,377.238093,14.010000,19.890972,13.946000,23.383566,
14.204000,378.133827,14.202000,19.876157,14.138000,23.507022,
14.425000,377.685960,14.393000,19.871219,14.330000,23.548174,
14.587000,375.894493,14.585000,19.869573,14.521000,23.561891,
14.780000,374.998760,14.777000,19.869024,14.713000,23.566464,
14.970000,375.446627,14.969000,19.868841,14.905000,23.567988,
15.163000,374.998760,15.161000,19.868780,15.097000,23.568496,
15.356000,372.759427,15.353000,19.868760,15.289000,23.568665,
15.546000,372.311560,15.545000,19.868753,15.481000,23.568722,
15.738000,371.863693,15.737000,19.868751,15.673000,23.568741,
15.930000,370.967960,15.928000,19.868750,15.865000,23.568747,
16.122000,369.624360,16.120000,19.868750,16.057000,23.568749,
16.314000,370.072227,16.312000,19.735417,16.249000,23.568750,
16.506000,369.176493,16.504000,19.690972,16.441000,23.568750,
16.700000,367.385027,16.696000,19.676157,16.632000,23.568750,
16.890000,366.489293,16.888000,19.671219,16.824000,23.568750,
17.082000,363.354227,17.080000,19.669573,17.016000,23.568750,
17.274000,362.906360,17.272000,19.669024,17.208000,23.568750,
17.466000,362.906360,17.464000,19.668841,17.400000,23.568750,
17.658000,362.906360,17.656000,19.668780,17.592000,23.568750,
17.849000,361.114893,17.848000,19.668760,17.784000,23.568750,
18.042000,359.771293,18.040000,19.668753,17.976000,23.568750,
18.236000,359.771293,18.231000,19.668751,18.168000,23.568750,
18.425000,359.323427,18.423000,19.668750,18.360000,23.568750,
18.617000,358.427693,18.615000,19.668750,18.552000,23.568750,
18.811000,358.427693,18.808000,19.668750,18.743000,23.568750,
19.001000,357.979827,18.999000,19.668750,18.935000,23.568750,
19.193000,355.292627,19.191000,19.668750,19.127000,23.568750,
19.385000,357.084093,19.383000,19.535417,19.319000,23.568750,
19.576000,353.501160,19.575000,19.624306,19.511000,23.568750,
19.772000,356.636227,19.768000,19.653935,19.704000,23.702083,
19.965000,355.292627,19.960000,19.530478,19.896000,23.613194,
20.153000,354.844760,20.151000,19.489326,20.088000,23.716898,
20.348000,351.709693,20.344000,19.608942,20.280000,23.751466,
20.539000,354.396893,20.536000,19.515481,20.472000,23.762989,
20.728000,353.053293,20.727000,19.484327,20.664000,23.633496,
20.920000,352.605427,20.919000,19.473942,20.856000,23.723665,
21.113000,353.053293,21.111000,19.470481,21.047000,23.753722,
21.304000,352.157560,21.303000,19.469327,21.239000,23.763741,
21.496000,351.709693,21.495000,19.468942,21.432000,23.633747,
21.690000,350.813960,21.687000,19.468814,21.623000,23.723749,
21.881000,350.366093,21.879000,19.468771,21.815000,23.753750,
22.072000,349.918227,22.071000,19.468757,22.007000,23.763750,
22.264000,349.470360,22.263000,19.468752,22.199000,23.633750,
22.456000,347.231027,22.454000,19.468751,22.391000,23.723750,
22.650000,345.887427,22.646000,19.468750,22.583000,23.753750,
22.840000,345.439560,22.838000,19.468750,22.775000,23.630417,
23.031000,346.335293,23.030000,19.468750,22.966000,23.722639,
23.226000,346.783160,23.222000,19.468750,23.158000,23.753380,
23.415000,345.887427,23.414000,19.468750,23.350000,23.763627,
23.609000,345.439560,23.606000,19.335417,23.542000,23.767042,
23.800000,344.991693,23.798000,19.290972,23.734000,23.768181,
23.991000,342.304493,23.990000,19.409491,23.926000,23.768560,
24.183000,343.648093,24.182000,19.315664,24.118000,23.768687,
24.374000,343.200227,24.373000,19.284388,24.310000,23.768729,
24.569000,342.304493,24.566000,19.273963,24.502000,23.768743,
24.759000,341.856627,24.757000,19.270488,24.694000,23.768748,
24.950000,340.960893,24.949000,19.269329,24.886000,23.768749,
25.143000,339.617293,25.141000,19.268943,25.077000,23.768750,
25.335000,339.169427,25.333000,19.268814,25.269000,23.768750,
25.530000,337.377960,25.526000,19.268771,25.461000,23.768750,
25.720000,336.930093,25.717000,19.268757,25.653000,23.768750,
25.914000,335.586493,25.909000,19.268752,25.845000,23.768750,
26.102000,334.690760,26.101000,19.268751,26.037000,23.768750,
26.295000,333.347160,26.293000,19.268750,26.229000,23.768750,
26.488000,333.795027,26.485000,19.268750,26.421000,23.768750,
26.678000,333.795027,26.677000,19.268750,26.613000,23.768750,
26.870000,330.212093,26.868000,19.268750,26.805000,23.768750,
27.062000,331.107827,27.060000,19.268750,26.997000,23.768750,
27.254000,328.420627,27.252000,19.268750,27.188000,23.768750,
27.449000,329.316360,27.444000,19.268750,27.380000,23.768750,
27.638000,332.003560,27.636000,19.152083,27.572000,23.768750,
27.829000,333.795027,27.828000,19.229861,27.764000,23.768750,
28.030000,334.690760,28.020000,19.255787,27.956000,23.768750,
28.214000,334.242893,28.212000,19.264429,28.148000,23.768750,
28.407000,333.347160,28.404000,19.267310,28.340000,23.768750,
28.597000,331.107827,28.595000,19.268270,28.532000,23.768750,
28.792000,332.899293,28.788000,19.268590,28.724000,23.768750,
28.982000,329.764227,28.979000,19.152030,28.916000,23.768750,
29.173000,332.899293,29.171000,19.229843,29.107000,23.768750,
29.366000,332.899293,29.363000,19.255781,29.299000,23.768750,
29.557000,333.347160,29.555000,19.264427,29.491000,23.768750,
29.749000,330.212093,29.747000,19.150642,29.683000,23.768750,
29.943000,329.764227,29.939000,19.112714,29.875000,23.768750,
30.132000,330.659960,30.131000,19.100071,30.067000,23.768750,
30.328000,330.659960,30.323000,19.095857,30.259000,23.768750,
30.516000,330.659960,30.515000,19.094452,30.451000,23.768750,
30.708000,330.212093,30.706000,19.093984,30.643000,23.902083,
30.900000,328.420627,30.899000,19.093828,30.835000,23.813194,
31.093000,326.629160,31.090000,19.093776,31.027000,23.783565,
31.287000,324.837693,31.282000,19.093759,31.219000,23.773688,
31.476000,323.941960,31.474000,19.093753,31.410000,23.903729,
31.668000,322.150493,31.666000,19.093751,31.602000,23.813743,
31.859000,321.254760,31.858000,19.093750,31.794000,23.783748,
32.053000,319.911160,32.050000,19.093750,31.986000,23.907083,
32.246000,319.911160,32.242000,19.093750,32.178000,23.814861,
32.435000,320.806893,32.434000,19.093750,32.370000,23.917454,
32.635000,319.463293,32.626000,19.093750,32.562000,23.818318,
32.822000,318.119693,32.818000,19.093750,32.754000,23.785273,
33.011000,318.567560,33.009000,19.093750,32.946000,23.774258,
33.203000,317.223960,33.201000,19.093750,33.137000,23.903919,
33.396000,316.776093,33.393000,19.093750,33.330000,23.947140,
33.590000,316.776093,33.585000,19.093750,33.521000,23.828213,
33.779000,316.328227,33.777000,19.093750,33.713000,23.921904,
33.970000,311.401693,33.969000,19.093750,33.905000,23.953135,
34.163000,316.328227,34.161000,19.093750,34.097000,23.830212,
34.354000,315.432493,34.353000,19.093750,34.289000,23.789237,
34.548000,314.984627,34.545000,19.093750,34.481000,23.775579,
34.740000,314.536760,34.737000,19.093750,34.673000,23.771026,
34.930000,314.536760,34.928000,19.093750,34.865000,23.902842,
35.122000,315.432493,35.120000,19.093750,35.057000,23.946781,
35.314000,314.984627,35.312000,19.093750,35.249000,23.961427,
35.506000,311.849560,35.504000,19.093750,35.440000,23.966309,
35.699000,314.088893,35.696000,19.093750,35.632000,23.834603,
35.890000,314.984627,35.888000,19.093750,35.824000,23.790701,
36.081000,314.088893,36.080000,19.093750,36.016000,23.909400,
36.273000,313.641027,36.272000,19.093750,36.208000,23.948967,
36.465000,313.193160,36.464000,19.093750,36.400000,23.962156,
36.657000,303.340093,36.656000,19.093750,36.592000,23.966552,
36.850000,307.818760,36.848000,19.093750,36.784000,23.834684,
37.041000,306.475160,37.039000,19.093750,36.976000,23.924061,
37.234000,314.984627,37.232000,19.093750,37.169000,23.953854,
37.426000,314.984627,37.424000,19.093750,37.361000,23.963785,
37.618000,314.984627,37.616000,19.093750,37.552000,23.967095,
37.811000,314.984627,37.808000,19.093750,37.745000,23.968198,
38.012000,309.610227,38.000000,18.960417,37.936000,23.968566,
38.196000,313.641027,38.192000,18.915972,38.129000,23.968689,
38.385000,314.088893,38.384000,18.901157,38.320000,23.968730,
38.580000,313.193160,38.576000,18.896219,38.512000,23.968743,
38.769000,313.641027,38.768000,19.027906,38.704000,23.968748,
38.962000,313.641027,38.960000,18.938469,38.896000,23.968749,
39.152000,312.745293,39.151000,18.908656,39.088000,23.968750,
39.347000,312.297427,39.343000,19.032052,39.280000,23.968750,
39.537000,311.849560,39.535000,18.939851,39.472000,23.968750,
39.729000,312.297427,39.727000,19.042450,39.663000,23.968750,
39.921000,310.953827,39.919000,18.943317,39.855000,23.968750,
40.118000,310.953827,40.111000,18.910272,40.047000,23.968750,
40.307000,310.953827,40.303000,18.899257,40.239000,23.968750,
40.500000,310.058093,40.495000,18.895586,40.431000,23.835417,
40.688000,310.058093,40.687000,18.894362,40.623000,23.924306,
40.879000,311.401693,40.879000,18.893954,40.815000,23.953935,
41.073000,310.953827,41.071000,18.893818,41.007000,23.963812,
41.265000,310.953827,41.262000,18.893773,41.199000,23.967104,
41.459000,310.953827,41.454000,18.893758,41.391000,23.968201,
41.652000,307.370893,41.646000,18.893753,41.583000,23.968567,
41.840000,297.965693,41.838000,18.893751,41.774000,23.968689,
42.031000,304.683693,42.030000,18.893750,41.966000,23.968730,
