heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.192000,388.882627,0.190000,22.300000,0.127000,22.900000,
0.385000,452.479693,0.383000,22.183333,0.319000,22.900000,
0.577000,500.849293,0.574000,22.011111,0.511000,22.900000,
0.768000,536.230760,0.766000,21.820370,0.703000,22.900000,
0.965000,569.820760,0.959000,21.490123,0.895000,22.900000,
1.151000,589.526893,1.150000,21.150874,1.087000,22.920833,
1.347000,609.680893,1.342000,20.904458,1.279000,22.927778,
1.535000,628.491293,1.534000,20.688986,1.471000,22.930093,
1.728000,641.031560,1.726000,20.483829,1.662000,22.930864,
1.920000,653.571827,1.918000,20.261276,1.854000,22.910288,
2.112000,662.081293,2.110000,20.070425,2.046000,22.903429,
2.306000,668.799293,2.302000,20.027642,2.238000,22.921976,
2.498000,674.173693,2.494000,19.880047,2.430000,22.928159,
2.689000,678.204493,2.686000,19.564182,2.622000,22.930220,
2.879000,682.683160,2.878000,19.458894,2.814000,22.930907,
3.071000,684.922493,3.070000,19.290465,3.006000,22.931136,
3.266000,687.609693,3.262000,19.117655,3.198000,22.931212,
3.456000,688.953293,3.454000,19.060052,3.390000,22.931237,
3.647000,690.296893,3.646000,18.907517,3.582000,22.931246,
3.839000,691.640493,3.838000,18.856672,3.774000,22.931249,
4.032000,691.192627,4.030000,18.706391,3.966000,22.931250,
4.223000,692.536227,4.222000,18.522964,4.158000,22.931250,
4.416000,692.536227,4.414000,18.461821,4.350000,22.931250,
4.607000,692.536227,4.606000,18.308107,4.542000,22.931250,
4.800000,692.536227,4.798000,18.256869,4.734000,22.931250,
4.993000,692.088360,4.990000,18.106456,4.926000,22.931250,
5.185000,691.640493,5.182000,18.056319,5.118000,22.931250,
5.376000,689.849027,5.374000,17.922940,5.310000,22.931250,
5.567000,688.953293,5.566000,17.878480,5.502000,22.931250,
5.759000,687.161827,5.758000,17.730327,5.694000,22.931250,
5.951000,686.266093,5.950000,17.680942,5.886000,22.931250,
6.147000,684.922493,6.142000,17.531147,6.078000,23.064583,
6.335000,682.683160,6.334000,17.481216,6.270000,23.109028,
6.528000,681.339560,6.526000,17.331239,6.462000,23.123843,
6.725000,680.443827,6.718000,17.281246,6.654000,23.128781,
6.917000,679.548093,6.910000,17.131249,6.846000,23.130427,
7.107000,677.756627,7.102000,17.081250,7.038000,23.130976,
7.298000,675.965160,7.294000,17.064583,7.230000,23.131159,
7.490000,674.173693,7.486000,16.942361,7.422000,23.131220,
7.679000,673.277960,7.678000,16.901620,7.614000,23.131240,
7.871000,671.934360,7.870000,16.888040,7.806000,23.131247,
8.066000,670.590760,8.062000,16.750180,7.998000,23.131249,
8.256000,668.351427,8.254000,16.704227,8.190000,23.131250,
8.447000,667.007827,8.446000,16.688909,8.382000,23.131250,
8.639000,665.664227,8.638000,16.683803,8.574000,23.131250,
8.832000,664.320627,8.829000,16.548768,8.766000,23.131250,
9.026000,663.424893,9.022000,16.503756,8.958000,23.131250,
9.216000,660.737693,9.214000,16.355419,9.150000,23.247917,
9.407000,657.602627,9.406000,16.305973,9.342000,23.286806,
9.602000,658.498360,9.598000,16.289491,9.534000,23.299769,
9.795000,657.602627,9.790000,16.283997,9.726000,23.304090,
9.986000,656.706893,9.983000,16.148832,9.919000,23.305530,
10.177000,654.915427,10.174000,16.103777,10.111000,23.306010,
10.368000,654.019693,10.367000,16.088759,10.303000,23.306170,
10.560000,652.676093,10.559000,16.083753,10.495000,23.306223,
10.753000,650.884627,10.751000,15.965418,10.687000,23.306241,
10.946000,649.541027,10.943000,15.925973,10.879000,23.439580,
11.138000,647.749560,11.135000,15.912824,11.071000,23.484027,
11.328000,646.405960,11.327000,15.775108,11.263000,23.498842,
11.522000,644.614493,11.519000,15.729203,11.455000,23.503781,
11.712000,642.823027,11.711000,15.713901,11.647000,23.505427,
11.912000,640.583693,11.903000,15.575467,11.839000,23.505976,
12.097000,637.896493,12.094000,15.529322,12.031000,23.506159,
12.289000,634.761427,12.286000,15.513941,12.223000,23.506220,
12.480000,631.626360,12.478000,15.508814,12.415000,23.506240,
12.672000,630.282760,12.670000,15.507105,12.607000,23.506247,
12.864000,629.387027,12.863000,15.373202,12.799000,23.506249,
13.059000,627.595560,13.055000,15.328567,12.991000,23.506250,
13.249000,626.699827,13.246000,15.313689,13.182000,23.506250,
13.440000,626.251960,13.438000,15.308730,13.375000,23.506250,
13.632000,624.460493,13.630000,15.173743,13.567000,23.639583,
13.827000,623.116893,13.822000,15.128748,13.759000,23.684028,
14.028000,621.773293,14.014000,15.113749,13.951000,23.698843,
14.207000,619.981827,14.206000,14.975416,14.142000,23.703781,
14.402000,618.638227,14.398000,14.929305,14.334000,23.705427,
14.593000,616.398893,14.590000,14.913935,14.526000,23.705976,
14.786000,615.055293,14.782000,14.908812,14.718000,23.706159,
14.975000,613.263827,14.974000,14.907104,14.910000,23.706220,
15.168000,611.472360,15.166000,14.885701,15.102000,23.685407,
15.366000,609.680893,15.358000,14.878567,15.294000,23.811802,
15.551000,607.889427,15.549000,14.759522,15.486000,23.853934,
15.746000,603.858627,15.741000,14.719841,15.678000,23.867978,
15.935000,601.171427,15.933000,14.706614,15.869000,23.872659,
16.127000,603.858627,16.125000,14.702205,16.061000,23.874220,
16.320000,601.619293,16.317000,14.567402,16.253000,23.874740,
16.515000,600.275693,16.508000,14.522467,16.445000,23.874913,
16.709000,598.484227,16.700000,14.507489,16.637000,23.874971,
16.895000,597.588493,16.892000,14.502496,16.829000,23.874990,
17.086000,594.901293,17.084000,14.521665,17.021000,23.895830,
17.280000,593.109827,17.276000,14.528055,17.212000,23.902777,
17.470000,591.318360,17.468000,14.396852,17.404000,23.905092,
17.664000,589.974760,17.660000,14.353117,17.596000,23.905864,
17.854000,588.631160,17.852000,14.317706,17.788000,24.018621,
18.045000,587.735427,18.044000,14.326735,17.980000,24.077040,
18.238000,586.839693,18.235000,14.329745,18.172000,24.096513,
18.431000,585.048227,18.428000,14.330748,18.363000,24.103004,
18.626000,583.256760,18.619000,14.331083,18.556000,24.105168,
18.821000,581.465293,18.811000,14.331194,18.748000,24.105889,
19.005000,578.778093,19.003000,14.197898,18.940000,24.106130,
19.199000,577.434493,19.195000,14.153466,19.131000,24.106210,
19.390000,573.851560,19.387000,14.138655,19.323000,24.106237,
19.582000,571.612227,19.579000,14.133718,19.515000,24.106246,
19.773000,569.372893,19.771000,14.132073,19.707000,24.106249,
19.965000,565.789960,19.963000,14.131524,19.899000,24.106250,
20.156000,563.550627,20.155000,13.998008,20.091000,24.106250,
20.349000,561.759160,20.346000,13.953503,20.283000,24.106250,
20.541000,560.863427,20.538000,13.938668,20.475000,24.106250,
20.732000,560.415560,20.730000,13.933723,20.667000,24.106250,
20.924000,559.967693,20.922000,13.932074,20.859000,24.222917,
21.118000,558.176227,21.114000,13.931525,21.050000,24.261806,
21.309000,557.280493,21.306000,13.814675,21.243000,24.274769,
21.499000,555.936893,21.498000,13.754892,21.434000,24.258256,
21.694000,555.041160,21.690000,13.734964,21.626000,24.252752,
21.885000,553.697560,21.882000,13.749155,21.818000,24.271751,
22.077000,552.353960,22.074000,13.733052,22.010000,24.257250,
22.268000,550.114627,22.265000,13.748517,22.202000,24.273250,
22.460000,548.771027,22.457000,13.732839,22.394000,24.257750,
22.654000,547.427427,22.650000,13.748446,22.586000,24.406750,
22.844000,545.188093,22.841000,13.753649,22.778000,24.456417,
23.038000,543.396627,23.034000,13.622050,22.969000,24.339639,
23.227000,541.605160,23.225000,13.578183,23.161000,24.434046,
23.418000,540.261560,23.417000,13.563561,23.353000,24.465515,
23.610000,538.470093,23.609000,13.537854,23.545000,24.455172,
23.805000,537.126493,23.801000,13.529285,23.737000,24.451724,
23.996000,548.771027,23.993000,13.526428,23.929000,24.450575,
24.186000,538.470093,24.184000,13.525476,24.121000,24.450192,
24.379000,534.887160,24.376000,13.391825,24.313000,24.450064,
24.573000,548.323160,24.569000,13.347275,24.505000,24.450021,
24.763000,533.543560,24.760000,13.332425,24.696000,24.450007,
24.954000,537.126493,24.952000,13.327475,24.888000,24.583336,
25.145000,544.740227,25.143000,13.325825,25.080000,24.627779,
25.337000,534.439293,25.335000,13.325275,25.272000,24.642593,
25.531000,533.543560,25.528000,13.325092,25.464000,24.647531,
25.721000,538.022227,25.719000,13.345864,25.656000,24.670010,
25.916000,538.917960,25.911000,13.331955,25.848000,24.656670,
26.105000,529.512760,26.103000,13.348152,26.040000,24.673057,
26.297000,538.022227,26.295000,13.332717,26.231000,24.657686,
26.489000,532.647827,26.487000,13.215072,26.423000,24.673395,
26.680000,524.586227,26.679000,13.155024,26.615000,24.657798,
26.872000,536.230760,26.870000,13.135008,26.807000,24.785933,
27.064000,524.586227,27.062000,13.128336,26.999000,24.695311,
27.256000,519.659693,27.254000,13.126112,27.191000,24.798437,
27.455000,532.199960,27.448000,13.125371,27.382000,24.832812,
27.643000,516.076760,27.639000,13.145957,27.575000,24.865104,
27.833000,516.524627,27.831000,13.131986,27.767000,24.855035,
28.026000,527.273427,28.023000,13.127329,27.959000,24.851678,
28.219000,511.150227,28.214000,13.125776,28.151000,24.850559,
28.411000,515.628893,28.407000,13.012759,28.343000,24.871020,
28.600000,520.107560,28.598000,12.954253,28.535000,24.990340,
28.795000,507.567293,28.791000,12.934751,28.727000,25.030113,
28.985000,513.837427,28.982000,12.928250,28.919000,25.043371,
29.176000,512.493827,29.174000,12.926083,29.111000,25.047790,
29.371000,504.432227,29.367000,12.925361,29.303000,25.049263,
29.560000,503.536493,29.558000,12.925120,29.494000,25.049754,
29.752000,508.910893,29.750000,12.925040,29.686000,25.049918,
29.946000,507.119427,29.942000,12.925013,29.878000,25.183306,
30.136000,508.463027,30.134000,12.925004,30.071000,25.227769,
30.329000,503.984360,30.326000,12.925001,30.262000,25.242590,
30.520000,499.953560,30.518000,12.925000,30.454000,25.247530,
30.714000,496.818493,30.710000,12.925000,30.646000,25.365843,
30.904000,494.579160,30.902000,12.808333,30.838000,25.288614,
31.097000,494.131293,31.094000,12.769444,31.030000,25.379538,
31.289000,495.027027,31.286000,12.756481,31.222000,25.409846,
31.480000,495.922760,31.478000,12.752160,31.414000,25.419949,
31.670000,496.370627,31.669000,12.750720,31.606000,25.423316,
31.864000,495.474893,31.861000,12.750240,31.798000,25.424439,
32.055000,494.579160,32.053000,12.750080,31.990000,25.558146,
32.247000,492.339827,32.245000,12.750027,32.182000,25.602715,
32.439000,490.100493,32.437000,12.750009,32.374000,25.617572,
32.634000,488.309027,32.629000,12.750003,32.566000,25.489191,
32.822000,486.965427,32.821000,12.750001,32.758000,25.579730,
33.015000,484.726093,33.013000,12.750000,32.949000,25.609910,
33.206000,483.382493,33.205000,12.750000,33.141000,25.619970,
33.398000,482.934627,33.397000,12.750000,33.333000,25.623323,
33.590000,482.486760,33.589000,12.750000,33.525000,25.624441,
33.783000,481.591027,33.781000,12.616667,33.717000,25.624814,
33.974000,481.591027,33.973000,12.705556,33.909000,25.758271,
34.167000,485.621827,34.165000,12.735185,34.101000,25.802757,
34.358000,485.173960,34.357000,12.745062,34.293000,25.817586,
34.550000,475.768760,34.549000,12.615021,34.485000,25.822529,
34.743000,482.038893,34.741000,12.571674,34.677000,25.824176,
34.934000,479.799560,34.933000,12.557225,34.869000,25.824725,
35.126000,474.425160,35.125000,12.552408,35.061000,25.824908,
35.318000,481.591027,35.316000,12.550803,35.253000,25.824969,
