heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.196000,455.032533,0.193000,24.687500,0.129000,25.687500,
0.394000,511.463733,0.389000,24.570833,0.324000,25.687500,
0.603000,556.698267,0.584000,24.265278,0.519000,25.687500,
0.784000,592.527600,0.779000,23.896759,0.714000,25.687500,
0.977000,620.743200,0.974000,23.523920,0.909000,25.687500,
1.173000,643.584400,1.169000,23.266307,1.104000,25.687500,
1.367000,661.946933,1.364000,23.047102,1.299000,25.687500,
1.563000,676.726533,1.559000,22.840701,1.494000,25.687500,
1.757000,689.266800,1.751000,22.655234,1.687000,25.687500,
1.947000,699.567733,1.943000,22.460078,1.880000,25.687500,
2.139000,708.077200,2.135000,22.261693,2.072000,25.687500,
2.331000,714.795200,2.328000,22.062231,2.264000,25.687500,
2.523000,720.169600,2.520000,21.995744,2.456000,25.687500,
2.714000,724.200400,2.712000,21.840248,2.648000,25.687500,
2.909000,727.335467,2.905000,21.655083,2.841000,25.687500,
3.099000,730.022667,3.097000,21.476694,3.033000,25.687500,
3.290000,731.814133,3.289000,21.283898,3.225000,25.687500,
3.484000,733.605600,3.481000,21.219633,3.418000,25.687500,
3.676000,734.949200,3.674000,21.085711,3.610000,25.708333,
3.868000,735.397067,3.866000,21.041070,3.803000,25.715278,
4.061000,736.292800,4.059000,20.892857,3.995000,25.717593,
4.252000,736.292800,4.251000,20.843452,4.188000,25.718364,
4.445000,735.844933,4.443000,20.672817,4.380000,25.697788,
4.638000,736.292800,4.636000,20.615939,4.572000,25.690929,
4.833000,735.844933,4.829000,20.480313,4.765000,25.688643,
5.023000,734.949200,5.021000,20.301771,4.957000,25.687881,
5.218000,732.709867,5.213000,20.242257,5.149000,25.687627,
5.407000,734.501333,5.405000,20.109919,5.342000,25.708376,
5.599000,733.605600,5.597000,20.044973,5.534000,25.694459,
5.791000,733.157733,5.790000,20.044158,5.726000,25.710653,
5.984000,731.366267,5.982000,19.889719,5.919000,25.695218,
6.179000,730.470533,6.175000,19.838240,6.111000,25.690073,
6.369000,729.126933,6.367000,19.687747,6.303000,25.688358,
6.561000,728.231200,6.559000,19.637582,6.496000,25.687786,
6.754000,726.887600,6.752000,19.504194,6.688000,25.687595,
6.946000,725.096133,6.944000,19.459731,6.881000,25.687532,
7.140000,723.752533,7.137000,19.444910,7.072000,25.687511,
7.333000,723.752533,7.329000,19.306637,7.265000,25.687504,
7.523000,722.856800,7.521000,19.260546,7.457000,25.687501,
7.732000,721.513200,7.713000,19.245182,7.649000,25.804167,
7.908000,719.721733,7.905000,19.106727,7.842000,25.726389,
8.101000,717.034533,8.098000,19.060576,8.034000,25.700463,
8.293000,713.899467,8.290000,19.045192,8.226000,25.691821,
8.486000,710.764400,8.482000,18.906731,8.419000,25.805607,
8.678000,709.868667,8.675000,18.860577,8.611000,25.843536,
8.869000,709.868667,8.867000,18.845192,8.803000,25.856179,
9.063000,708.525067,9.059000,18.840064,8.996000,25.860393,
9.253000,707.629333,9.251000,18.838355,9.188000,25.861798,
9.448000,704.494267,9.444000,18.704452,9.380000,25.862266,
9.638000,701.359200,9.636000,18.659817,9.572000,25.862422,
9.829000,701.807067,9.828000,18.511606,9.765000,25.862474,
10.025000,700.463467,10.021000,18.462202,9.957000,25.862491,
10.215000,702.254933,10.213000,18.445734,10.149000,25.862497,
10.411000,702.702800,10.405000,18.440245,10.342000,25.862499,
10.600000,703.150667,10.597000,18.321748,10.534000,25.862500,
10.790000,701.807067,10.789000,18.282249,10.726000,25.862500,
10.983000,700.463467,10.982000,18.269083,10.918000,25.862500,
11.175000,699.119867,11.174000,18.285528,11.111000,25.883333,
11.371000,698.224133,11.367000,18.136843,11.303000,25.869444,
11.562000,697.776267,11.559000,18.087281,11.495000,25.864815,
11.753000,697.776267,11.751000,18.070760,11.687000,25.863272,
11.945000,696.432667,11.943000,17.952753,11.880000,26.016924,
12.138000,693.745467,12.135000,17.892584,12.072000,26.047308,
12.333000,689.714667,12.328000,17.872528,12.264000,26.057436,
12.523000,686.579600,12.520000,17.865843,12.457000,26.060812,
12.716000,684.788133,12.713000,17.884448,12.648000,26.082771,
12.907000,682.996667,12.906000,17.736483,12.841000,26.069257,
13.104000,679.413733,13.100000,17.687161,13.036000,26.064752,
13.303000,677.622267,13.296000,17.670720,13.231000,26.063251,
13.494000,677.622267,13.491000,17.665240,13.426000,26.062750,
13.690000,677.174400,13.686000,17.663413,13.621000,26.062583,
13.885000,674.487200,13.880000,17.529471,13.816000,26.062528,
14.078000,671.800000,14.075000,17.484824,14.011000,26.062509,
14.274000,670.008533,14.270000,17.490775,14.206000,26.083336,
14.470000,667.769200,14.466000,17.471925,14.401000,26.069445,
