heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.196000,458.301960,0.194000,22.962500,0.129000,23.937500,
0.391000,496.818493,0.389000,22.829167,0.324000,23.937500,
0.586000,528.169160,0.584000,22.784722,0.519000,23.937500,
0.781000,548.771027,0.779000,22.636574,0.714000,23.937500,
0.976000,568.925027,0.974000,22.453858,0.909000,23.937500,
1.169000,584.600360,1.167000,22.392953,1.103000,23.937500,
1.362000,595.349160,1.359000,22.255984,1.296000,23.937500,
1.554000,604.754360,1.552000,22.076995,1.488000,23.937500,
1.746000,611.472360,1.744000,22.017332,1.680000,23.937500,
1.938000,616.846760,1.936000,21.864111,1.872000,23.937500,
2.133000,620.429693,2.128000,21.679704,2.065000,23.937500,
2.322000,623.564760,2.320000,21.618235,2.257000,23.937500,
2.521000,626.699827,2.513000,21.464412,2.450000,23.937500,
2.709000,629.387027,2.705000,21.279804,2.641000,23.937500,
2.900000,630.730627,2.897000,21.218268,2.833000,23.937500,
3.092000,630.730627,3.089000,21.081089,3.026000,23.937500,
3.284000,631.626360,3.281000,20.902030,3.218000,23.937500,
3.476000,630.730627,3.474000,20.842343,3.410000,23.937500,
3.668000,631.178493,3.666000,20.822448,3.602000,23.937500,
3.862000,632.522093,3.859000,20.682483,3.795000,23.937500,
4.053000,632.969960,4.051000,20.635828,3.987000,23.937500,
4.244000,630.282760,4.243000,20.486943,4.179000,23.937500,
4.437000,628.491293,4.435000,20.437314,4.372000,24.070833,
4.631000,628.491293,4.627000,20.420771,4.564000,23.981944,
4.826000,626.699827,4.820000,20.281924,4.756000,23.952315,
5.014000,623.116893,5.012000,20.235641,4.948000,23.942438,
5.205000,625.356227,5.204000,20.220214,5.140000,23.939146,
5.397000,624.012627,5.396000,20.215071,5.332000,24.071382,
5.590000,623.116893,5.588000,20.096690,5.525000,24.115461,
5.782000,612.368093,5.781000,20.057230,5.717000,24.130154,
5.977000,622.221160,5.973000,19.910743,5.909000,24.135051,
6.167000,620.429693,6.165000,19.861914,6.101000,24.136684,
6.358000,619.086093,6.357000,19.845638,6.293000,24.137228,
6.552000,615.503160,6.550000,19.840213,6.487000,24.137409,
6.744000,615.503160,6.743000,19.705071,6.679000,24.137470,
6.937000,613.711693,6.935000,19.660024,6.871000,24.137490,
7.130000,612.815960,7.127000,19.511675,7.063000,24.137497,
7.320000,613.711693,7.319000,19.462225,7.255000,24.137499,
7.513000,611.920227,7.511000,19.445742,7.448000,24.137500,
7.705000,610.576627,7.703000,19.306914,7.640000,24.137500,
7.897000,608.337293,7.896000,19.260638,7.832000,24.137500,
8.092000,607.889427,8.088000,19.245213,8.024000,24.137500,
8.281000,606.993693,8.280000,19.240071,8.216000,24.137500,
8.474000,606.993693,8.472000,19.238357,8.409000,24.137500,
8.667000,604.306493,8.664000,19.121119,8.601000,24.137500,
8.882000,602.515027,8.857000,19.082040,8.793000,24.137500,
9.053000,602.515027,9.049000,19.069013,8.985000,24.137500,
9.242000,600.723560,9.241000,19.064671,9.177000,24.254167,
9.435000,599.827827,9.433000,19.063224,9.370000,24.176389,
9.631000,595.349160,9.626000,19.062741,9.562000,24.150463,
9.819000,594.901293,9.818000,18.929247,9.754000,24.258488,
10.014000,594.005560,10.010000,18.884749,9.946000,24.294496,
10.204000,593.109827,10.202000,18.869916,10.139000,24.306499,
10.396000,590.870493,10.394000,18.864972,10.331000,24.310500,
10.589000,588.631160,10.587000,18.863324,10.523000,24.311833,
10.781000,587.287560,10.779000,18.729441,10.715000,24.312278,
10.975000,585.048227,10.972000,18.684814,10.908000,24.312426,
11.166000,585.048227,11.165000,18.669938,11.101000,24.312475,
11.361000,585.496093,11.357000,18.664979,11.293000,24.312492,
11.553000,583.256760,11.550000,18.663326,11.486000,24.312497,
11.747000,582.808893,11.745000,18.529442,11.680000,24.312499,
11.943000,579.225960,11.939000,18.484814,11.875000,24.312500,
12.136000,578.778093,12.134000,18.469938,12.070000,24.312500,
12.331000,576.538760,12.329000,18.464979,12.265000,24.312500,
12.526000,574.747293,12.524000,18.463326,12.459000,24.312500,
12.725000,572.060093,12.719000,18.462775,12.654000,24.312500,
12.915000,570.716493,12.914000,18.462592,12.849000,24.312500,
13.110000,569.820760,13.109000,18.462531,13.044000,24.312500,
13.307000,568.925027,13.304000,18.329177,13.239000,24.312500,
13.500000,566.685693,13.499000,18.284726,13.434000,24.312500,
13.698000,564.446360,13.693000,18.269909,13.629000,24.312500,
13.891000,561.311293,13.888000,18.264970,13.824000,24.312500,
14.089000,560.415560,14.083000,18.263323,14.019000,24.312500,
14.281000,559.967693,14.278000,18.262774,14.213000,24.312500,
14.475000,558.624093,14.473000,18.262591,14.408000,24.312500,
14.670000,554.145427,14.668000,18.262530,14.603000,24.312500,
14.864000,550.562493,14.863000,18.262510,14.798000,24.312500,
15.059000,554.593293,15.057000,18.129170,14.993000,24.445833,
15.255000,554.593293,15.253000,18.063890,15.188000,24.336111,
15.451000,550.114627,15.448000,18.042130,15.383000,24.299537,
15.644000,549.218893,15.642000,18.034877,15.578000,24.287346,
15.841000,544.740227,15.837000,18.032459,15.773000,24.416615,
16.034000,543.396627,16.032000,18.031653,15.968000,24.459705,
16.229000,538.470093,16.227000,18.031384,16.162000,24.474068,
16.424000,540.709427,16.422000,18.052128,16.357000,24.499689,
16.619000,537.126493,16.617000,18.059043,16.552000,24.508230,
16.816000,541.157293,16.812000,17.944681,16.747000,24.511077,
17.009000,540.709427,17.007000,17.906560,16.942000,24.512026,
17.204000,542.053027,17.202000,17.893853,17.137000,24.512342,
17.400000,542.053027,17.397000,17.889618,17.332000,24.512447,
17.595000,541.605160,17.592000,17.888206,17.527000,24.512482,
17.788000,542.948760,17.786000,17.887735,17.722000,24.512494,
17.983000,540.709427,17.981000,17.887578,17.917000,24.512498,
18.178000,540.709427,18.176000,17.887526,18.112000,24.512499,
18.372000,538.917960,18.371000,17.887509,18.306000,24.512500,
18.567000,536.230760,18.566000,17.887503,18.501000,24.512500,
18.763000,533.543560,18.761000,17.754168,18.697000,24.512500,
18.958000,532.647827,18.956000,17.709723,18.891000,24.512500,
19.158000,531.752093,19.151000,17.828241,19.086000,24.512500,
19.348000,531.304227,19.346000,17.734414,19.281000,24.512500,
19.543000,529.512760,19.541000,17.703138,19.476000,24.512500,
19.738000,526.825560,19.736000,17.692713,19.671000,24.512500,
19.932000,526.377693,19.931000,17.689238,19.866000,24.512500,
20.128000,522.794760,20.126000,17.688079,20.061000,24.512500,
20.325000,518.763960,20.321000,17.687693,20.256000,24.512500,
20.518000,521.899027,20.516000,17.687564,20.451000,24.512500,
20.713000,521.003293,20.711000,17.687521,20.646000,24.512500,
20.908000,516.972493,20.906000,17.666674,20.841000,24.491667,
21.102000,517.868227,21.101000,17.659725,21.036000,24.618056,
21.299000,515.628893,21.296000,17.657408,21.231000,24.660185,
21.493000,514.733160,21.491000,17.656636,21.426000,24.540895,
21.688000,514.285293,21.686000,17.656379,21.621000,24.634465,
21.883000,513.389560,21.881000,17.656293,21.816000,24.665655,
22.080000,510.702360,22.076000,17.656264,22.012000,24.542718,
22.273000,509.358760,22.271000,17.522921,22.206000,24.635073,
22.468000,508.463027,22.466000,17.478474,22.401000,24.665858,
22.663000,505.327960,22.661000,17.463658,22.596000,24.676119,
22.860000,503.088627,22.856000,17.458719,22.791000,24.679540,
23.053000,502.192893,23.051000,17.457073,22.986000,24.680680,
23.248000,504.880093,23.246000,17.456524,23.181000,24.681060,
23.442000,505.775827,23.441000,17.456341,23.376000,24.681187,
23.637000,505.327960,23.636000,17.456280,23.571000,24.681229,
23.833000,502.640760,23.831000,17.456260,23.766000,24.681243,
24.031000,502.192893,24.027000,17.456253,23.962000,24.681248,
24.228000,499.953560,24.222000,17.456251,24.157000,24.681249,
24.419000,497.266360,24.417000,17.456250,24.352000,24.681250,
24.613000,496.818493,24.612000,17.456250,24.547000,24.681250,
24.808000,499.057827,24.807000,17.456250,24.742000,24.681250,
25.004000,496.818493,25.002000,17.456250,24.937000,24.681250,
25.198000,498.609960,25.197000,17.477083,25.132000,24.702083,
25.394000,496.370627,25.392000,17.329861,25.327000,24.688194,
25.592000,494.131293,25.587000,17.414120,25.522000,24.683565,
25.783000,497.266360,25.782000,17.329707,25.717000,24.702855,
25.978000,498.162093,25.977000,17.434902,25.912000,24.709285,
26.174000,498.609960,26.172000,17.336634,26.107000,24.711428,
26.371000,494.131293,26.367000,17.283045,26.302000,24.691309,
26.564000,492.339827,26.562000,17.286015,26.497000,24.705436,
26.762000,492.339827,26.757000,17.287005,26.692000,24.710145,
26.954000,491.891960,26.952000,17.287335,26.887000,24.711715,
27.149000,491.444093,27.147000,17.287445,27.082000,24.712238,
27.356000,490.996227,27.342000,17.287482,27.277000,24.712413,
27.546000,486.517560,27.537000,17.287494,27.472000,24.712471,
27.735000,488.756893,27.732000,17.287498,27.667000,24.712490,
27.929000,486.965427,27.926000,17.287499,27.862000,24.712497,
28.123000,485.621827,28.121000,17.287500,28.057000,24.712499,
28.318000,483.382493,28.316000,17.287500,28.252000,24.712500,
28.513000,482.038893,28.511000,17.287500,28.447000,24.712500,
28.711000,480.247427,28.706000,17.287500,28.642000,24.712500,
28.903000,481.143160,28.901000,17.287500,28.837000,24.845833,
29.100000,480.695293,29.097000,17.287500,29.032000,24.756944,
29.303000,479.799560,29.291000,17.287500,29.227000,24.727315,
29.488000,479.799560,29.486000,17.287500,29.422000,24.850772,
