heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.197000,416.650360,0.192000,22.250000,0.127000,23.025000,
0.384000,503.088627,0.382000,21.983333,0.319000,23.025000,
0.576000,568.925027,0.574000,21.648611,0.511000,23.045833,
0.770000,619.533960,0.766000,21.266204,0.702000,23.031944,
0.962000,658.946227,0.958000,21.005401,0.894000,23.027315,
1.155000,688.953293,1.150000,20.651800,1.086000,23.025772,
1.343000,714.481693,1.342000,20.400600,1.278000,23.025257,
1.537000,733.739960,1.535000,20.066867,1.470000,23.025086,
1.732000,746.728093,1.727000,19.822289,1.663000,23.025029,
1.923000,755.685427,1.919000,19.607430,1.855000,23.025010,
2.112000,767.329960,2.110000,19.285810,2.047000,23.025003,
2.305000,772.704360,2.302000,19.045270,2.239000,23.025001,
2.497000,777.183027,2.494000,18.831757,2.430000,23.025000,
2.691000,779.422360,2.687000,18.760586,2.623000,23.025000,
2.882000,785.692493,2.879000,18.470195,2.815000,23.025000,
3.075000,781.661693,3.071000,18.373398,3.007000,23.025000,
3.264000,788.379693,3.262000,18.207799,3.199000,23.025000,
3.455000,791.514760,3.454000,18.035933,3.392000,23.025000,
3.654000,792.410493,3.646000,17.845311,3.583000,23.025000,
3.842000,791.514760,3.838000,17.781770,3.775000,23.025000,
4.034000,791.962627,4.031000,17.627257,3.967000,23.025000,
4.224000,791.514760,4.222000,17.442419,4.158000,23.025000,
4.415000,791.514760,4.414000,17.380806,4.350000,23.025000,
4.609000,789.275427,4.606000,17.360269,4.542000,23.025000,
4.800000,788.827560,4.798000,17.220090,4.734000,23.025000,
4.994000,786.588227,4.990000,17.056697,4.926000,23.025000,
5.186000,784.796760,5.182000,17.002232,5.118000,23.025000,
5.376000,782.109560,5.374000,16.850744,5.310000,23.025000,
5.570000,780.765960,5.566000,16.800248,5.502000,23.025000,
5.760000,778.974493,5.757000,16.783416,5.694000,23.158333,
