heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.196000,553.563200,0.194000,22.656250,0.129000,23.631250,
0.397000,623.878267,0.389000,22.406250,0.325000,23.764583,
0.586000,678.070133,0.583000,22.189583,0.519000,23.809028,
0.777000,719.273867,0.775000,21.850694,0.711000,23.823843,
0.969000,751.072400,0.967000,21.471065,0.904000,23.828781,
1.164000,775.705067,1.160000,21.227855,1.096000,23.830427,
1.354000,796.306933,1.352000,21.013452,1.289000,23.830976,
1.548000,812.430133,1.544000,20.829484,1.481000,23.718659,
1.738000,825.866133,1.736000,20.634828,1.673000,23.681220,
1.930000,836.167067,1.929000,20.299109,1.865000,23.647907,
2.126000,843.332933,2.122000,20.074703,2.058000,23.657636,
2.316000,849.603067,2.313000,19.845734,2.250000,23.773379,
2.510000,854.529600,2.506000,19.636078,2.442000,23.678626,
2.700000,857.664667,2.698000,19.432859,2.634000,23.647042,
2.892000,860.351867,2.890000,19.248453,2.827000,23.769847,
3.084000,862.143333,3.083000,19.186984,3.019000,23.810782,
3.277000,863.486933,3.275000,19.033161,3.211000,23.691094,
3.471000,863.486933,3.467000,18.848554,3.403000,23.784531,
3.662000,864.382667,3.659000,18.787018,3.596000,23.815677,
3.856000,864.382667,3.852000,18.633173,3.788000,23.826059,
4.045000,863.039067,4.044000,18.581891,3.980000,23.962853,
4.237000,860.799733,4.236000,18.431464,4.173000,23.875118,
4.432000,859.008267,4.429000,18.381321,4.365000,23.845873,
4.624000,858.560400,4.621000,18.231274,4.557000,23.836124,
4.816000,857.216800,4.813000,18.181258,4.749000,23.832875,
5.008000,854.529600,5.005000,18.047919,4.942000,23.831792,
5.199000,853.186000,5.198000,18.003473,5.134000,23.831431,
5.394000,852.290267,5.390000,17.855324,5.326000,23.831310,
5.584000,850.498800,5.582000,17.672608,5.519000,23.831270,
5.776000,848.707333,5.775000,17.632536,5.711000,23.852090,
5.968000,846.915867,5.967000,17.619179,5.903000,23.859030,
6.161000,846.468000,6.159000,17.481393,6.096000,23.861343,
6.359000,845.124400,6.352000,17.435464,6.288000,23.995448,
6.547000,843.332933,6.544000,17.420155,6.480000,24.040149,
6.741000,840.197867,6.736000,17.281718,6.672000,24.055050,
6.929000,837.958533,6.928000,17.235573,6.865000,24.060017,
7.122000,834.823467,7.121000,17.220191,7.057000,24.061672,
7.315000,833.479867,7.313000,17.098397,7.249000,24.062224,
7.513000,830.344800,7.505000,17.057799,7.441000,24.062408,
7.702000,829.896933,7.697000,17.044266,7.634000,24.062469,
7.891000,828.553333,7.890000,16.906422,7.826000,24.062490,
8.085000,821.835333,8.082000,16.860474,8.018000,24.195830,
8.278000,822.283200,8.275000,16.845158,8.211000,24.106943,
8.468000,818.252400,8.466000,16.840053,8.403000,24.210648,
8.660000,814.669467,8.659000,16.705018,8.595000,24.245216,
8.855000,811.086533,8.852000,16.660006,8.788000,24.256739,
9.046000,812.878000,9.044000,16.645002,8.980000,24.260580,
9.238000,810.638667,9.237000,16.640001,9.173000,24.261860,
9.430000,810.190800,9.429000,16.638334,9.365000,24.262287,
9.623000,807.951467,9.621000,16.504445,9.557000,24.262429,
9.814000,805.712133,9.813000,16.459815,9.750000,24.262476,
10.010000,803.472800,10.006000,16.444938,9.942000,24.262492,
10.202000,802.577067,10.198000,16.439979,10.134000,24.262497,
10.391000,801.681333,10.390000,16.304993,10.327000,24.262499,
10.584000,798.098400,10.582000,16.259998,10.519000,24.262500,
10.777000,795.411200,10.775000,16.244999,10.711000,24.262500,
10.970000,791.380400,10.967000,16.240000,10.903000,24.379167,
11.163000,787.797467,11.159000,16.238333,11.096000,24.418056,
11.353000,784.214533,11.352000,16.121111,11.288000,24.431019,
11.545000,784.214533,11.544000,16.082037,11.480000,24.435340,
11.738000,781.079467,11.736000,16.069012,11.672000,24.436780,
