heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.192000,438.595827,0.190000,22.656250,0.127000,23.631250,
0.387000,536.230760,0.383000,22.656250,0.319000,23.631250,
0.592000,611.472360,0.574000,22.522917,0.511000,23.631250,
0.774000,672.830093,0.766000,22.478472,0.702000,23.631250,
0.960000,720.751827,0.958000,22.346991,0.894000,23.631250,
1.153000,758.372627,1.150000,22.169830,1.086000,23.631250,
1.348000,788.379693,1.343000,21.977443,1.278000,23.631250,
1.542000,813.012360,1.534000,21.646648,1.470000,23.631250,
1.730000,833.166360,1.726000,21.403049,1.662000,23.631250,
1.920000,848.393827,1.918000,21.205183,1.854000,23.631250,
2.112000,861.381960,2.110000,21.005894,2.047000,23.631250,
2.306000,872.578627,2.302000,20.806131,2.239000,23.631250,
2.498000,880.640227,2.494000,20.606210,2.430000,23.631250,
2.690000,886.910360,2.686000,20.406237,2.622000,23.631250,
2.882000,889.597560,2.878000,20.222912,2.814000,23.631250,
3.072000,897.659160,3.070000,20.161804,3.006000,23.631250,
3.270000,901.242093,3.262000,20.008101,3.198000,23.631250,
3.456000,903.033560,3.454000,19.823534,3.390000,23.631250,
3.648000,905.272893,3.646000,19.495345,3.582000,23.631250,
3.839000,907.064360,3.838000,19.385948,3.774000,23.631250,
4.032000,907.960093,4.030000,19.232816,3.966000,23.631250,
4.227000,908.855827,4.222000,19.048439,4.158000,23.631250,
4.417000,908.855827,4.414000,18.986980,4.350000,23.764583,
4.610000,909.303693,4.606000,18.833160,4.542000,23.675694,
4.800000,909.751560,4.798000,18.648553,4.734000,23.779398,
4.991000,908.407960,4.990000,18.587018,4.926000,23.813966,
5.188000,907.512227,5.182000,18.433173,5.118000,23.825489,
5.376000,905.720760,5.374000,18.381891,5.310000,23.829330,
5.574000,904.825027,5.566000,18.231464,5.502000,23.830610,
5.760000,903.033560,5.758000,18.064655,5.694000,23.831037,
5.952000,900.794227,5.950000,18.009052,5.886000,23.831179,
6.143000,899.002760,6.142000,17.857184,6.078000,23.831226,
6.336000,893.180493,6.334000,17.673228,6.270000,23.964575,
6.527000,891.389027,6.526000,17.611909,6.462000,24.009025,
6.719000,889.597560,6.718000,17.458136,6.655000,24.023842,
6.911000,890.045427,6.910000,17.406879,6.846000,24.028781,
7.107000,889.597560,7.102000,17.256460,7.038000,24.030427,
7.295000,886.910360,7.294000,17.206320,7.230000,24.030976,
7.493000,884.671027,7.486000,17.072940,7.422000,24.031159,
7.680000,882.879560,7.678000,17.028480,7.615000,24.031220,
7.872000,880.640227,7.870000,16.880327,7.806000,24.164573,
8.066000,878.400893,8.062000,16.830942,7.998000,24.209024,
8.259000,876.161560,8.254000,16.681147,8.190000,24.223841,
8.448000,873.922227,8.446000,16.631216,8.382000,24.228780,
8.638000,871.682893,8.638000,16.614572,8.574000,24.230427,
8.831000,869.443560,8.830000,16.475691,8.766000,24.230976,
9.024000,867.204227,9.022000,16.429397,8.958000,24.231159,
9.216000,865.860627,9.214000,16.280632,9.150000,24.231220,
9.410000,862.725560,9.406000,16.231044,9.342000,24.231240,
9.599000,860.038360,9.598000,16.214515,9.534000,24.231247,
9.793000,857.799027,9.790000,16.092338,9.726000,24.231249,
9.985000,855.559693,9.982000,16.051613,9.918000,24.347916,
10.176000,853.768227,10.174000,16.038038,10.110000,24.386805,
10.370000,851.976760,10.366000,15.900179,10.302000,24.399768,
10.559000,848.393827,10.558000,15.854226,10.494000,24.404089,
10.751000,845.258760,10.750000,15.705575,10.687000,24.405530,
10.945000,843.915160,10.942000,15.656025,10.878000,24.539343,
11.135000,842.571560,11.134000,15.506175,11.070000,24.583948,
11.331000,841.227960,11.326000,15.456225,11.262000,24.598816,
11.520000,839.884360,11.518000,15.439575,11.454000,24.603772,
11.711000,837.197160,11.710000,15.300692,11.646000,24.605424,
11.906000,834.062093,11.902000,15.254397,11.838000,24.605975,
12.097000,830.927027,12.094000,15.238966,12.030000,24.739492,
12.291000,828.239827,12.286000,15.100489,12.222000,24.783997,
12.480000,825.104760,12.478000,15.054330,12.414000,24.798832,
12.671000,821.969693,12.670000,15.038943,12.606000,24.803777,
12.863000,819.730360,12.862000,15.033814,12.798000,24.805426,
13.056000,816.595293,13.054000,14.915438,12.990000,24.805975,
13.251000,814.355960,13.246000,14.875979,13.182000,24.939492,
13.440000,812.564493,13.438000,14.862826,13.374000,24.983997,
13.632000,809.429427,13.630000,14.725109,13.566000,24.998832,
13.823000,808.085827,13.822000,14.679203,13.758000,25.003777,
14.016000,807.190093,14.014000,14.663901,13.950000,25.005426,
14.211000,805.398627,14.206000,14.525467,14.143000,25.139309,
14.403000,800.919960,14.399000,14.479322,14.335000,25.183936,
14.592000,797.784893,14.590000,14.463941,14.527000,25.332145,
14.786000,795.097693,14.782000,14.458814,14.719000,25.381548,
14.977000,792.858360,14.974000,14.457105,14.911000,25.398016,
15.172000,786.140360,15.167000,14.323202,15.103000,25.520172,
15.361000,787.931827,15.359000,14.278567,15.295000,25.560891,
15.552000,787.483960,15.551000,14.263689,15.487000,25.707797,
15.745000,783.901027,15.743000,14.258730,15.679000,25.756766,
15.940000,782.557427,15.935000,14.123743,15.871000,25.773089,
16.132000,787.483960,16.127000,14.078748,16.063000,25.778530,
16.321000,783.901027,16.319000,14.063749,16.256000,25.780343,
16.513000,783.005293,16.511000,14.058750,16.448000,25.914281,
16.708000,782.109560,16.704000,13.940417,16.640000,25.958927,
16.897000,782.557427,16.895000,13.900972,16.832000,25.973809,
17.094000,777.630893,17.088000,13.887824,17.024000,25.978770,
17.282000,775.391560,17.279000,13.883441,17.216000,26.113757,
17.474000,777.183027,17.473000,13.881980,17.408000,26.158752,
17.665000,774.943693,17.665000,13.748160,17.601000,26.173751,
17.858000,772.704360,17.857000,13.703553,17.793000,26.178750,
18.053000,772.256493,18.049000,13.688684,17.985000,26.313750,
18.242000,771.360760,18.241000,13.683728,18.181000,26.225417,
18.435000,767.329960,18.433000,13.682076,18.370000,26.329306,
18.627000,765.986360,18.625000,13.548192,18.562000,26.363935,
18.820000,759.268360,18.817000,13.503564,18.754000,26.375478,
19.017000,751.206760,19.010000,13.488688,18.946000,26.379326,
19.203000,746.280227,19.201000,13.483729,19.138000,26.497275,
19.395000,744.936627,19.393000,13.482076,19.330000,26.536592,
19.590000,741.353693,19.586000,13.348192,19.522000,26.549697,
19.780000,736.427160,19.778000,13.303564,19.714000,26.554066,
19.975000,735.083560,19.970000,13.288688,19.907000,26.555522,
20.164000,728.813427,20.162000,13.283729,20.098000,26.556007,
20.356000,731.948493,20.354000,13.282076,20.290000,26.556169,
20.548000,728.365560,20.546000,13.148192,20.482000,26.556223,
20.740000,732.396360,20.738000,13.103564,20.675000,26.689574,
20.935000,727.021960,20.931000,13.067855,20.866000,26.713191,
21.124000,725.678360,21.122000,13.055952,21.059000,26.721064,
21.317000,726.574093,21.314000,13.051984,21.251000,26.723688,
21.508000,724.334760,21.506000,13.050661,21.443000,26.724563,
21.702000,722.543293,21.698000,13.050220,21.635000,26.724854,
21.891000,715.825293,21.890000,12.933407,21.827000,26.858285,
22.091000,717.168893,22.083000,12.915302,22.019000,26.790262,
22.277000,711.346627,22.274000,12.909267,22.211000,26.900921,
22.468000,708.211560,22.467000,12.907256,22.403000,26.937807,
22.661000,707.763693,22.659000,12.906585,22.595000,27.083436,
22.858000,701.493560,22.851000,12.906362,22.787000,27.131979,
