heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.192000,809.742933,0.191000,21.312500,0.128000,23.862500,
0.388000,863.039067,0.383000,21.062500,0.320000,23.862500,
0.580000,900.659867,0.576000,20.712500,0.512000,23.862500,
0.769000,933.354133,0.768000,20.462500,0.704000,23.729167,
0.964000,954.403867,0.960000,20.129167,0.897000,23.818056,
1.159000,969.631333,1.152000,19.751389,1.089000,23.847685,
1.348000,982.171600,1.344000,19.375463,1.281000,23.857562,
1.545000,992.472533,1.537000,19.116821,1.473000,23.727521,
1.733000,1000.086267,1.729000,18.897274,1.666000,23.684174,
1.926000,1004.564933,1.922000,18.690758,1.858000,23.803058,
2.117000,1007.700000,2.114000,18.488586,2.050000,23.842686,
2.310000,1010.835067,2.306000,18.287862,2.242000,23.855895,
2.500000,1010.387200,2.498000,18.104287,2.434000,23.860298,
2.692000,1003.221333,2.690000,17.909762,2.627000,23.995099,
2.891000,1009.043600,2.883000,17.711587,2.819000,24.040033,
3.077000,1010.387200,3.075000,17.512196,3.012000,24.055011,
3.271000,1007.252133,3.267000,17.445732,3.204000,24.060004,
3.471000,1000.534133,3.459000,17.290244,3.396000,24.061668,
3.653000,996.503333,3.652000,17.121748,3.588000,24.062223,
3.848000,996.055467,3.845000,17.065583,3.780000,24.062408,
4.039000,993.816133,4.036000,16.913528,3.973000,24.062469,
4.230000,990.681067,4.229000,16.862843,4.165000,24.195823,
4.423000,988.441733,4.422000,16.712614,4.357000,24.106941,
4.622000,987.098133,4.613000,16.662538,4.550000,24.077314,
4.808000,980.828000,4.805000,16.645846,4.742000,24.200771,
4.999000,972.766400,4.998000,16.506949,4.934000,24.241924,
5.194000,965.152667,5.191000,16.460650,5.127000,24.255641,
5.387000,957.986800,5.383000,16.445217,5.318000,24.260214,
5.581000,954.851733,5.574000,16.306739,5.511000,24.261738,
5.771000,950.373067,5.767000,16.260580,5.703000,24.262246,
5.961000,946.790133,5.959000,16.245193,5.896000,24.262415,
6.153000,943.655067,6.151000,16.123398,6.088000,24.262472,
6.347000,942.759333,6.344000,16.082799,6.280000,24.262491,
6.540000,944.102933,6.536000,16.069266,6.472000,24.262497,
6.730000,940.520000,6.728000,16.064755,6.665000,24.262499,
6.922000,926.188267,6.920000,15.929918,6.857000,24.379166,
7.115000,925.292533,7.113000,15.884973,7.049000,24.418055,
