heat_flux_time_[ms],heat_flux_[W/m^2],thermocouple1_time_[ms],thermocouple1_[degC],thermocouple2_time_[ms],thermocouple2_[deg_C]
0.195000,660.289827,0.190000,24.106250,0.126000,24.481250,
0.385000,754.341827,0.382000,23.839583,0.319000,24.481250,
0.577000,825.552627,0.575000,23.484028,0.511000,24.481250,
0.775000,879.296627,0.767000,23.115509,0.703000,24.481250,
0.964000,921.843960,0.959000,22.859336,0.896000,24.481250,
1.153000,954.090360,1.152000,22.640612,1.088000,24.614583,
1.347000,979.618760,1.344000,22.434371,1.280000,24.659028,
1.538000,1000.668493,1.536000,22.248957,1.472000,24.673843,
1.730000,1017.239560,1.728000,22.053819,1.665000,24.678781,
1.925000,1030.675560,1.921000,21.722106,1.857000,24.547094,
2.116000,1040.976493,2.113000,21.478202,2.049000,24.636531,
2.311000,1049.038093,2.306000,21.263567,2.242000,24.666344,
2.500000,1055.756093,2.498000,21.075356,2.434000,24.676281,
2.692000,1062.026227,2.690000,20.879285,2.627000,24.679594,
2.886000,1065.609160,2.883000,20.680595,2.819000,24.680698,
3.076000,1068.744227,3.075000,20.481032,3.011000,24.681066,
3.269000,1070.983560,3.267000,20.281177,3.204000,24.681189,
3.461000,1072.775027,3.460000,20.097892,3.396000,24.681230,
3.655000,1073.670760,3.652000,19.903464,3.588000,24.681243,
3.847000,1073.222893,3.845000,19.705321,3.781000,24.681248,
4.038000,1072.775027,4.037000,19.505940,3.973000,24.681249,
4.233000,1071.431427,4.229000,19.306147,4.166000,24.681250,
4.423000,1070.535693,4.422000,19.122882,4.358000,24.681250,
4.618000,1066.057027,4.614000,19.061794,4.550000,24.681250,
4.808000,1064.713427,4.806000,18.908098,4.743000,24.681250,
5.000000,1064.265560,4.999000,18.723533,4.935000,24.681250,
5.193000,1062.921960,5.191000,18.662011,5.128000,24.681250,
5.386000,1061.130493,5.383000,18.508170,5.320000,24.814583,
5.580000,1059.339027,5.576000,18.323557,5.512000,24.859028,
5.772000,1057.547560,5.768000,18.262019,5.705000,24.873843,
5.964000,1054.412493,5.961000,18.108173,5.897000,24.878781,
6.154000,1052.621027,6.153000,18.056891,6.089000,24.880427,
6.347000,1049.933827,6.345000,17.923130,6.282000,24.880976,
6.542000,1046.798760,6.538000,17.745210,6.475000,24.881159,
6.733000,1043.215827,6.730000,17.552570,6.667000,24.881220,
6.927000,1039.632893,6.923000,17.488357,6.859000,24.881240,
7.117000,1037.841427,7.115000,17.466952,7.052000,24.881247,
7.311000,1032.019160,7.308000,17.305651,7.244000,24.860416,
7.504000,1027.988360,7.500000,17.251884,7.436000,24.986805,
7.694000,1030.675560,7.692000,17.100628,7.628000,25.028935,
7.888000,1029.331960,7.885000,16.933543,7.821000,25.042978,
8.079000,1027.988360,8.077000,16.898681,8.013000,25.068493,
8.271000,1026.196893,8.269000,16.732894,8.205000,25.056164,
8.463000,1024.405427,8.462000,16.698465,8.398000,25.072888,
8.658000,1020.822493,8.655000,16.553655,8.590000,25.211796,
8.849000,1016.343827,8.847000,16.505385,8.784000,25.258099,
9.044000,1016.343827,9.040000,16.468462,8.976000,25.252700,
9.236000,1012.313027,9.232000,16.322821,9.168000,25.250900,
9.426000,1007.834360,9.424000,16.274274,9.361000,25.250300,
9.619000,1002.459960,9.617000,16.124758,9.553000,25.250100,
9.811000,996.637693,9.809000,16.074919,9.745000,25.250033,
10.004000,992.159027,10.002000,15.941640,9.938000,25.250011,
10.198000,987.680360,10.194000,15.897213,10.130000,25.250004,
10.390000,984.545293,10.386000,15.749071,10.322000,25.366668,
10.580000,981.858093,10.578000,15.699690,10.515000,25.405556,
